spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within
event_att,,rel_t::-4:treated,-0.013818162502336008,0.012116455925134509,0.2669407653714919,-0.03901571199327847,0.011379386988606455,113269,0.00027334537576917395
event_att,,rel_t::-3:treated,-0.003200727229034098,0.014365291369813614,0.825836455372682,-0.033074986045245565,0.026673531587177366,113269,0.00027334537576917395
event_att,,rel_t::-2:treated,-0.01770015729488058,0.011038784518054985,0.12377031349924716,-0.04065656640759331,0.005256251817832149,113269,0.00027334537576917395
event_att,,rel_t::1:treated,0.029547649773522842,0.016651475084393387,0.09048433776895992,-0.005080988347119671,0.06417628789416535,113269,0.00027334537576917395
event_att,,rel_t::2:treated,-0.003347739785630933,0.012741177005804039,0.7953040729921887,-0.029844467885026992,0.023148988313765124,113269,0.00027334537576917395
event_att,,rel_t::3:treated,-0.02379433609227276,0.01352031635934,0.09298617928908093,-0.05191137317825438,0.004322700993708857,113269,0.00027334537576917395
event_att,,rel_t::4:treated,-0.012553565788346148,0.008957801027379206,0.17569755311778534,-0.03118233282319979,0.006075201246507494,113269,0.00027334537576917395
event_binary_B,,rel_t::-4:treated,-0.030876258783002715,0.018981660229470503,0.1187274726268619,-0.07035078219212637,0.008598264626120948,113269,0.0013867933485871564
event_binary_B,,rel_t::-3:treated,-0.01486262260908694,0.027210729260378864,0.5906817406207039,-0.07145043190410744,0.04172518668593355,113269,0.0013867933485871564
event_binary_B,,rel_t::-2:treated,-0.025018641705552295,0.019246347285148173,0.20771772583622106,-0.06504361198018345,0.015006328569078856,113269,0.0013867933485871564
event_binary_B,,rel_t::1:treated,0.032312491246480404,0.026932083219963557,0.2435874521718615,-0.023695841885113866,0.08832082437807467,113269,0.0013867933485871564
event_binary_B,,rel_t::2:treated,0.018709397026339013,0.026535537578929604,0.48851427127414837,-0.03647427430009463,0.07389306835277266,113269,0.0013867933485871564
event_binary_B,,rel_t::3:treated,-0.004074849351424699,0.027664168249825812,0.8843026117701984,-0.061605636646638394,0.05345593794378899,113269,0.0013867933485871564
event_binary_B,,rel_t::4:treated,0.006025640209088306,0.018488353718116007,0.7477137232363522,-0.03242299614932823,0.04447427656750485,113269,0.0013867933485871564
event_binary_B,,rel_t::-4:treated_X_disp,0.02838616900953505,0.025995138927421182,0.2872119584025994,-0.02567368179954952,0.08244601981861963,113269,0.0013867933485871564
event_binary_B,,rel_t::-3:treated_X_disp,0.018282119346009415,0.031961223826438165,0.573388483001045,-0.04818488421789162,0.08474912290991045,113269,0.0013867933485871564
event_binary_B,,rel_t::-2:treated_X_disp,0.009976548064232453,0.020512844580969823,0.631751573935162,-0.03268224752109957,0.05263534364956448,113269,0.0013867933485871564
event_binary_B,,rel_t::1:treated_X_disp,-0.0033538505777461498,0.02677089486824013,0.9014936814185308,-0.05902697418148754,0.05231927302599525,113269,0.0013867933485871564
event_binary_B,,rel_t::2:treated_X_disp,-0.03642267560716975,0.028245689210552753,0.21124811651859043,-0.09516280194331053,0.02231745072897104,113269,0.0013867933485871564
event_binary_B,,rel_t::3:treated_X_disp,-0.032228431793571925,0.029977917197304128,0.2945397585587899,-0.09457092343318563,0.030114059846041777,113269,0.0013867933485871564
event_binary_B,,rel_t::4:treated_X_disp,-0.030041599222187413,0.02363202855344473,0.2175498011004593,-0.07918709298093095,0.01910389453655612,113269,0.0013867933485871564
event_binary_B,,rel_t::-4:disp_binary,0.030167009510635927,0.013174694133884224,0.03249041175926215,0.0027687331897577327,0.05756528583151412,113269,0.0013867933485871564
event_binary_B,,rel_t::-3:disp_binary,0.03160239888826005,0.012741348670244646,0.02168027709452569,0.005105313793116659,0.05809948398340345,113269,0.0013867933485871564
event_binary_B,,rel_t::-2:disp_binary,0.004712350587284579,0.013957439875305391,0.7389989637318619,-0.024313734614354706,0.03373843578892387,113269,0.0013867933485871564
event_binary_B,,rel_t::1:disp_binary,0.016745337100966085,0.014444300781960535,0.25934489923623927,-0.01329323078260991,0.04678390498454208,113269,0.0013867933485871564
event_binary_B,,rel_t::2:disp_binary,0.05877141797261325,0.012666183179784029,0.00014080002129146507,0.0324306480720775,0.085112187873149,113269,0.0013867933485871564
event_binary_B,,rel_t::3:disp_binary,0.06743124232282681,0.015049407936898573,0.00020591277144577091,0.03613428522229789,0.09872819942335573,113269,0.0013867933485871564
event_binary_B,,rel_t::4:disp_binary,0.07102848509787432,0.016494489938390155,0.0003124304611472617,0.03672631546027672,0.10533065473547193,113269,0.0013867933485871564
event_binary_D,,rel_t::-4:treated,-0.028929321146926996,0.01887954848010912,0.14037330212498378,-0.06819149154836936,0.010332849254515369,113269,0.0024114850123868603
event_binary_D,,rel_t::-3:treated,-0.009125435051136006,0.025907792682908066,0.72817793047997,-0.06300363940084613,0.044752769298574115,113269,0.0024114850123868603
event_binary_D,,rel_t::-2:treated,-0.026648474697262805,0.019924689298692774,0.19537904117238503,-0.06808413441472176,0.014787185020196155,113269,0.0024114850123868603
event_binary_D,,rel_t::1:treated,0.027230708144253067,0.02507714585050214,0.2898414186375411,-0.024920071552706494,0.07938148784121263,113269,0.0024114850123868603
event_binary_D,,rel_t::2:treated,0.020544010164930026,0.02566535109029375,0.43240901062776094,-0.032830009292241544,0.07391802962210159,113269,0.0024114850123868603
event_binary_D,,rel_t::3:treated,-0.0027682054754203994,0.02743542618950162,0.9205878188949626,-0.059823297615112375,0.054286886664271575,113269,0.0024114850123868603
event_binary_D,,rel_t::4:treated,0.007858085378153398,0.018167865332540552,0.6697679939393999,-0.029924058896546007,0.045640229652852804,113269,0.0024114850123868603
event_binary_D,,rel_t::-4:treated_X_disp,0.012730568068604646,0.01945303797596542,0.5199412203852694,-0.027724239028226377,0.05318537516543567,113269,0.0024114850123868603
event_binary_D,,rel_t::-3:treated_X_disp,-0.0028973884818638313,0.02091633536769654,0.8911470348427224,-0.04639528909349281,0.04060051212976514,113269,0.0024114850123868603
event_binary_D,,rel_t::-2:treated_X_disp,0.003667413549218245,0.019570860060355886,0.8531523933037553,-0.03703241798552587,0.044367245083962364,113269,0.0024114850123868603
event_binary_D,,rel_t::1:treated_X_disp,-0.016568897097976685,0.02582160030443669,0.5280311632517223,-0.07026785458410773,0.03713006038815436,113269,0.0024114850123868603
event_binary_D,,rel_t::2:treated_X_disp,-0.040241820692215255,0.02511999209284377,0.12409552860513617,-0.09248170402794303,0.011998062643512525,113269,0.0024114850123868603
event_binary_D,,rel_t::3:treated_X_disp,-0.035212146814909674,0.028209981893375407,0.22569024697118367,-0.09387801571989036,0.023453722090071016,113269,0.0024114850123868603
event_binary_D,,rel_t::4:treated_X_disp,-0.03723439069179387,0.02284616137621709,0.11805556942300366,-0.08474558418865774,0.010276802805069991,113269,0.0024114850123868603
event_binary_D,,rel_t::-4:disp_binary,0.0316764235974961,0.013071957833110288,0.02450389007435394,0.004491799110063494,0.058861048084928716,113269,0.0024114850123868603
event_binary_D,,rel_t::-3:disp_binary,0.03503998913139984,0.012571901982490325,0.011042645347796531,0.008895287714053585,0.061184690548746104,113269,0.0024114850123868603
event_binary_D,,rel_t::-2:disp_binary,0.0032600145923759446,0.015351556572237414,0.8338760168806028,-0.0286652949933692,0.03518532417812109,113269,0.0024114850123868603
event_binary_D,,rel_t::1:disp_binary,0.016190802982021402,0.014725794990532195,0.28400146969667417,-0.014433164154910878,0.046814770118953686,113269,0.0024114850123868603
event_binary_D,,rel_t::2:disp_binary,0.06399264794827873,0.011818304460564567,2.2666713120456095e-05,0.03941513837088175,0.08857015752567571,113269,0.0024114850123868603
