spec,term,coef,se,pvalue,n,r2_within
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.0007010688426617547,0.005421611335753917,0.8971200051712147,6768,3.779941887049887e-06
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",-0.0073941491801400375,0.003773117198586155,0.05011374220598097,6768,0.010634305284600187
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",0.035987430067914564,0.020719656501598977,0.08250045747032164,6768,0.010634305284600187
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",-0.022372042392375988,0.005561315671467058,5.876857983189154e-05,6768,0.010634305284600187
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.002014989588767034,0.006974099015184513,0.7726566907211079,6768,0.013204244990445702
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_score",0.023883610808018596,0.028582781233377964,0.40344215203598965,6768,0.013204244990445702
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:displacement_prob_centered",-0.03402276347883112,0.007682260369875277,9.778325099629726e-06,6768,0.013204244990445702
