spec,formula,n,r2,r2_within
binary_collapsed,purchase_incidence_binary ~ post_X_treated + post_X_disp + post_X_treated_X_disp | event_fe_id + rel_t + calendar_month,321184,0.4341281773775697,0.010650488416289572
binary_collapsed_logit,purchase_incidence_binary ~ post_X_treated + post_X_disp + post_X_treated_X_disp + C(rel_t) + C(calendar_month),321184,,
