spec,estimand,term,n,r2_within,coef,se,pvalue,ci_low,ci_high
binary_collapsed,low_predicted_incidence_effect_delta_b,post_X_treated,321184,0.010650488416289572,0.01102812085022967,0.004433394186768666,0.012868041377198658,0.0023385659395239594,0.01971767576093538
binary_collapsed,common_high_minus_low_post_shift,post_X_disp,321184,0.010650488416289572,-0.16878129813206091,0.004221077315620493,0.0,-0.17705470707590956,-0.16050788918821227
binary_collapsed,high_minus_low_ddd,post_X_treated_X_disp,321184,0.010650488416289572,0.0036760023834931225,0.00964035670049632,0.7029723298934922,-0.015219319209556917,0.022571323976543163
binary_collapsed_group_effects,low_predicted_incidence_effect,post_X_treated_X_low,321184,0.010650488416289128,0.011028120850151075,0.004433394161543895,0.012868040865900987,0.0023385659888864978,0.019717675711415653
binary_collapsed_group_effects,high_predicted_incidence_effect,post_X_treated_X_high,321184,0.010650488416289128,0.014704123233723674,0.008566692623225906,0.08609119011290445,-0.0020867919920925324,0.03149503845953988
binary_collapsed_logit,,post_X_treated,321184,,0.05510244834146765,0.026267700507193605,0.03592932299677404,,
binary_collapsed_logit,,post_X_disp,321184,,1.6677268596368788,0.019062281908970486,0.0,,
binary_collapsed_logit,,post_X_treated_X_disp,321184,,0.011064311030824583,0.04436958710934179,0.8030769056492342,,
