spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,rel_t,path
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-4]:blocked_treated_gap",0.08294613550898253,0.0221796942941488,0.0001850297499683684,0.039473934692450884,0.12641833632551416,101072,0.007258898384560841,-4,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-3]:blocked_treated_gap",0.12502430112944923,0.022151321977763927,1.6961983817509463e-08,0.08160771005303194,0.16844089220586653,101072,0.007258898384560841,-3,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-2]:blocked_treated_gap",0.24595993667378946,0.021221374769451917,0.0,0.2043660421256637,0.2875538312219152,101072,0.007258898384560841,-2,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[1]:blocked_treated_gap",0.15918408206591197,0.018224049507019092,0.0,0.12346494503215455,0.1949032190996694,101072,0.007258898384560841,1,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[2]:blocked_treated_gap",0.10427183719803768,0.018993457092728965,4.0996779970825514e-08,0.0670446612962889,0.14149901309978646,101072,0.007258898384560841,2,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[3]:blocked_treated_gap",0.14985420306188174,0.01933535280161438,9.992007221626409e-15,0.11195691157071755,0.18775149455304593,101072,0.007258898384560841,3,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[4]:blocked_treated_gap",0.1350330007328641,0.02070357276419022,7.191980344600779e-11,0.09445399811505126,0.17561200335067692,101072,0.007258898384560841,4,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-4]:blocked_control_gap",0.12892861672894224,0.013358253151278126,0.0,0.1027464405524371,0.15511079290544735,101072,0.007258898384560841,-4,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-3]:blocked_control_gap",0.16624071926285747,0.01327304969590113,0.0,0.14022554185889125,0.1922558966668237,101072,0.007258898384560841,-3,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-2]:blocked_control_gap",0.29260803542586833,0.012943124232200872,0.0,0.2672395119307546,0.31797655892098203,101072,0.007258898384560841,-2,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[1]:blocked_control_gap",0.16772120001958699,0.011738009421586676,0.0,0.1447147015532771,0.19072769848589688,101072,0.007258898384560841,1,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[2]:blocked_control_gap",0.1584135371582979,0.01196658847084343,0.0,0.13495902375544477,0.18186805056115102,101072,0.007258898384560841,2,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[3]:blocked_control_gap",0.14714504025553646,0.012156873813139487,0.0,0.12331756758178307,0.17097251292928986,101072,0.007258898384560841,3,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[4]:blocked_control_gap",0.15481117972192707,0.012407547470260887,0.0,0.13049238668021573,0.1791299727636384,101072,0.007258898384560841,4,control_blocked_minus_nonblocked
