spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,rel_t,effect
event_att,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.00017779324838916244,0.016241479164211058,0.9913932825146896,-0.031655505913464506,0.03201109241024284,321184,0.00011149021655010305,-4,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.004064746928760557,0.01815552260085053,0.8255153669802553,-0.03964957122642759,0.03152007736890648,321184,0.00011149021655010305,-3,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",0.0030067384477686717,0.013294136354241625,0.8237659501964936,-0.023049768806544912,0.029063245702082255,321184,0.00011149021655010305,-2,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.014761715463658306,0.01005680028568453,0.1604077762819882,-0.0049496130962833704,0.034473044023599984,321184,0.00011149021655010305,1,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.003482303828625765,0.012866849257079961,0.789925214577508,-0.02173672071525096,0.02870132837250249,321184,0.00011149021655010305,2,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[3]:treated",0.028021618471871387,0.012791525254147373,0.04270326256888746,0.002950228973742537,0.05309300797000024,321184,0.00011149021655010305,3,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.009904242444702947,0.013652091974389598,0.4780299569156736,-0.016853857825100668,0.03666234271450656,321184,0.00011149021655010305,4,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.002925507230081601,0.016186673732195827,0.8587123084608965,-0.02880037328502222,0.03465138774518542,321184,0.015191834127634585,-4,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.002142152642661867,0.017263684427538725,0.9027038737643911,-0.03597897412063777,0.03169466883531403,321184,0.015191834127634585,-3,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",0.015323618202404441,0.012258483554482216,0.2282192075022509,-0.008703009564380703,0.03935024596918958,321184,0.015191834127634585,-2,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.016844854487331647,0.012698909969570224,0.2022257503281375,-0.008045009053025992,0.041734718027689285,321184,0.015191834127634585,1,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.011108323157694708,0.01081059093526635,0.31856525316104567,-0.01008043507542734,0.03229708139081676,321184,0.015191834127634585,2,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:treated",0.02597520379432118,0.012114237412478631,0.04676753066467487,0.002231298465863063,0.0497191091227793,321184,0.015191834127634585,3,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.007432828769796453,0.011489725289951461,0.5263287245075441,-0.01508703279850841,0.029952690338101315,321184,0.015191834127634585,4,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",-0.014506112194735323,0.027695373159835075,0.6071973848441818,-0.06878904358801206,0.039776819198541424,321184,0.015191834127634585,-4,displacement
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",-0.013996979460890716,0.03411666536154215,0.6867334801680882,-0.08086564356951333,0.05287168464773189,321184,0.015191834127634585,-3,displacement
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",-0.04280903697296917,0.026863028336173347,0.12944654808000666,-0.09546057251186893,0.009842498565930585,321184,0.015191834127634585,-2,displacement
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",-0.015163240510728811,0.024272738226616252,0.5404609973140999,-0.06273780743489667,0.03241132641343904,321184,0.015191834127634585,1,displacement
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",-0.035391214903093465,0.02268777232916511,0.13719924306599673,-0.07985924866825708,0.009076818862070152,321184,0.015191834127634585,2,displacement
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",-0.0013892451920504156,0.02954697241242211,0.9630466712625618,-0.05930131112039775,0.05652282073629692,321184,0.015191834127634585,3,displacement
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",-0.0031314014713190942,0.02660049769540704,0.9076694848521325,-0.0552683769543169,0.04900557401167871,321184,0.015191834127634585,4,displacement
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",-0.01221510377291753,0.018795969298555933,0.5244557547365192,-0.049055203598087155,0.024624996052252098,321184,0.015191834127634585,-4,blocked_control_gap
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",0.048504457725336514,0.01667123089545459,0.00976454857110598,0.015828845170245513,0.08118007028042751,321184,0.015191834127634585,-3,blocked_control_gap
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",0.18052783566923722,0.020507586751772573,9.692842684039249e-08,0.14033296563576297,0.22072270570271146,321184,0.015191834127634585,-2,blocked_control_gap
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",-0.08744984322943337,0.012091549553635134,1.4012756637260537e-06,-0.11114928035455823,-0.06375040610430852,321184,0.015191834127634585,1,blocked_control_gap
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",-0.10816168659293673,0.013305374064888034,2.932736544725145e-07,-0.1342402197601173,-0.08208315342575619,321184,0.015191834127634585,2,blocked_control_gap
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",-0.12529209095490532,0.013241214412026215,3.4591891573398925e-08,-0.1512448712024767,-0.09933931070733393,321184,0.015191834127634585,3,blocked_control_gap
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",-0.13790930578575888,0.011034762208400417,5.390399238081045e-10,-0.1595374397142237,-0.11628117185729407,321184,0.015191834127634585,4,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.003027130329279976,0.015240607610734638,0.8449139095682483,-0.02684446058775991,0.032898721246319866,321184,0.016218200070517885,-4,att_or_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.0023894137500303173,0.015812132843728517,0.8816654977727267,-0.03338119412373821,0.02860236662367758,321184,0.016218200070517885,-3,att_or_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",0.012596831447186733,0.01118605027750579,0.2757615943398497,-0.009327827096724617,0.03452148999109808,321184,0.016218200070517885,-2,att_or_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.017817882931340477,0.011895289518589562,0.15249882280612237,-0.005496884525095065,0.04113265038777602,321184,0.016218200070517885,1,att_or_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.01068576675847395,0.010542450300653962,0.3249861952394846,-0.009977435830807815,0.03134896934775572,321184,0.016218200070517885,2,att_or_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:treated",0.02582085459652632,0.012053715389264492,0.04695381904402485,0.002195572433567914,0.04944613675948473,321184,0.016218200070517885,3,att_or_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.006840787943816924,0.011444616754102483,0.5578995280504766,-0.01559066089422394,0.02927223678185779,321184,0.016218200070517885,4,att_or_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",0.013938535336361222,0.03902122230216669,0.7253348790080252,-0.06254306037588549,0.09042013104860792,321184,0.016218200070517885,-4,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",0.0291574303139601,0.04398071643373949,0.5162457061905599,-0.057044773896169305,0.11535963452408951,321184,0.016218200070517885,-3,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",-1.6956770235813096e-05,0.03993019238824963,0.9996661135727332,-0.0782801338512051,0.07824622031073346,321184,0.016218200070517885,-2,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",-0.016402354953725433,0.026641660514511414,0.5462703253581433,-0.0686200095621678,0.035815299654716935,321184,0.016218200070517885,1,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",-0.009778528209832622,0.026669853505298394,0.718403039654713,-0.06205144108021747,0.042494384660552234,321184,0.016218200070517885,2,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",0.028087343097193178,0.03331219686319922,0.41084873365875896,-0.037204562754677296,0.09337924894906366,321184,0.016218200070517885,3,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",0.027501309354111245,0.02876072156180079,0.35236721184701447,-0.0288697049070183,0.08387232361524079,321184,0.016218200070517885,4,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",-0.004249471811594652,0.013122938899266237,0.750024047969994,-0.029970432054156476,0.02147148843096717,321184,0.016218200070517885,-4,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",0.0573517752739025,0.011508904039999,0.00011348774432584641,0.03479432335550446,0.07990922719230054,321184,0.016218200070517885,-3,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",0.1936454020534892,0.01594454981111707,8.372245119403487e-10,0.16239408442369974,0.22489671968327868,321184,0.016218200070517885,-2,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",-0.08560872353250512,0.013569722308667284,7.8530194969062e-06,-0.112205379257493,-0.05901206780751725,321184,0.016218200070517885,1,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",-0.10138162461073984,0.015272828200875806,4.191801260766681e-06,-0.13131636788445641,-0.07144688133702326,321184,0.016218200070517885,2,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",-0.11775220376295056,0.01217276002619668,2.5132986358755716e-08,-0.14161081341429604,-0.09389359411160507,321184,0.016218200070517885,3,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",-0.13243924033539844,0.009093359775395047,4.937583675257429e-11,-0.15026222549517274,-0.11461625517562415,321184,0.016218200070517885,4,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_len",0.0061594575140020156,0.009964867180377973,0.5446909054861044,-0.013371682159538812,0.02569059718754284,321184,0.016218200070517885,-4,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_len",0.010266386198894384,0.018193050028226677,0.5799179960881862,-0.025391991856429902,0.04592476425421867,321184,0.016218200070517885,-3,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_len",-0.01910065825810285,0.01336302859609844,0.1710185826435977,-0.0452921943064558,0.007090877790250093,321184,0.016218200070517885,-2,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_len",0.019390845013530358,0.010497764566903519,0.082206784559816,-0.001184773537600537,0.039966463564661256,321184,0.016218200070517885,1,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_len",-0.011673625402848185,0.007927464257282245,0.1591438171704691,-0.027211455347121383,0.0038642045414250138,321184,0.016218200070517885,2,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_len",-0.0035875323586685775,0.010935663708063748,0.7468737044171965,-0.025021433226473523,0.017846368509136366,321184,0.016218200070517885,3,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_len",-0.006731654668332684,0.008830902156858621,0.45633757006338205,-0.024040222895775582,0.010576913559110213,321184,0.016218200070517885,4,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:disp_X_len",-0.038490842416204575,0.012933042268287299,0.008474333915273524,-0.06383960526204768,-0.01314207957036147,321184,0.016218200070517885,-4,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:disp_X_len",-0.04102268051758027,0.013952143800438854,0.009147153346139136,-0.06836888236644043,-0.013676478668720116,321184,0.016218200070517885,-3,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:disp_X_len",-0.0518196578165597,0.01608061088195527,0.004999534866670041,-0.08333765514519204,-0.02030166048792737,321184,0.016218200070517885,-2,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:disp_X_len",-0.003483909629565767,0.015243369492003256,0.821943457027523,-0.03336091383389215,0.026393094574760613,321184,0.016218200070517885,1,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:disp_X_len",-0.023530291881473455,0.018717495437253814,0.2257050012991897,-0.06021658293849093,0.013155999175544022,321184,0.016218200070517885,2,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:disp_X_len",-0.027384592332237286,0.015430460714731396,0.09385343622344733,-0.05762829533311082,0.0028591106686362486,321184,0.016218200070517885,3,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:disp_X_len",-0.022415994923720428,0.009476395108010734,0.030157447746348653,-0.04098972933542147,-0.003842260512019389,321184,0.016218200070517885,4,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:tXdXlen",-0.023012108813390553,0.024835289802659512,0.3671084994138134,-0.0716892768266032,0.025665059199822086,321184,0.016218200070517885,-4,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:tXdXlen",-0.046459479198279925,0.02365640041916541,0.0661061135560419,-0.09282602401984413,-9.293437671572397e-05,321184,0.016218200070517885,-3,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:tXdXlen",-0.009341591453178885,0.020726016580208773,0.6578883645098001,-0.04996458395038808,0.03128140104403031,321184,0.016218200070517885,-2,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:tXdXlen",-0.016120481897036305,0.0175577022774388,0.37138749583502784,-0.05053357836081635,0.01829261456674374,321184,0.016218200070517885,1,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:tXdXlen",-0.007449397998517403,0.018746099997127078,0.696029495225186,-0.044191753992886475,0.029292957995851666,321184,0.016218200070517885,2,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:tXdXlen",-0.019378568866476743,0.023436622613931517,0.4197770743218303,-0.06531434918978252,0.02655721145682903,321184,0.016218200070517885,3,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:tXdXlen",-0.0211799910708783,0.020275680312768617,0.3108347349335907,-0.06092032448390479,0.018560342342148192,321184,0.016218200070517885,4,length_displacement
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.0011068774948978651,0.0165709587660422,0.947523223098087,-0.033585956676340574,0.031372201686544844,321184,0.020379133616164835,-4,att_or_baseline
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.005892254798163521,0.017622083906368206,0.7421918540877552,-0.0404315392546452,0.02864702965831816,321184,0.020379133616164835,-3,att_or_baseline
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",0.0043437944491508665,0.014855205821797536,0.7735127256450554,-0.024772408961572304,0.03345999785987404,321184,0.020379133616164835,-2,att_or_baseline
event_score_C,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.012012928532497314,0.010792911469093358,0.28118324552919716,-0.009141177946925668,0.033167035011920296,321184,0.020379133616164835,1,att_or_baseline
event_score_C,,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.0007440632418518041,0.010966763720805569,0.9466989505321748,-0.020750793650927107,0.02223892013463072,321184,0.020379133616164835,2,att_or_baseline
event_score_C,,"C(rel_t, contr.treatment(base=-1))[3]:treated",0.02461391223263194,0.012192542061476139,0.059570614084798024,0.0007165297921387093,0.04851129467312517,321184,0.020379133616164835,3,att_or_baseline
event_score_C,,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.005243401023021983,0.012015689682143654,0.6680528868567563,-0.01830735075397958,0.028794152800023544,321184,0.020379133616164835,4,att_or_baseline
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_score",0.0008845276492234491,0.0406593042250686,0.982897001923229,-0.07880770863191101,0.08057676393035791,321184,0.020379133616164835,-4,score_slope
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_score",-0.023179834632756288,0.04277795129946402,0.5949438279359003,-0.10702461917970577,0.06066494991419319,321184,0.020379133616164835,-3,score_slope
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_score",-0.03555379096408845,0.040871773068588996,0.3964794129745117,-0.11566246617852288,0.04455488425034598,321184,0.020379133616164835,-2,score_slope
event_score_C,,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_score",-0.006890507626745006,0.026631041945063695,0.7989428635452571,-0.059087349839069846,0.04530633458557983,321184,0.020379133616164835,1,score_slope
event_score_C,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_score",-0.03362256730459441,0.027610436821731588,0.23995270646334532,-0.08773902347518832,0.020493888865999496,321184,0.020379133616164835,2,score_slope
event_score_C,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_score",0.01577049784979035,0.03378905795771992,0.6466159922527424,-0.050456055747340696,0.0819970514469214,321184,0.020379133616164835,3,score_slope
event_score_C,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_score",0.007998237941410538,0.03430567456190683,0.8184319785550169,-0.059240884199926847,0.07523736008274792,321184,0.020379133616164835,4,score_slope
