spec,estimand,term,n,r2_within,coef,se,pvalue,ci_low,ci_high,group
binary_collapsed,low_predicted_incidence_effect_delta_b,post_X_treated,321184,0.010650488416289572,0.01102812085022967,0.014225672944112703,0.44885568224412875,-0.01898542553241932,0.041041667232878665,binary
binary_collapsed,common_high_minus_low_post_shift,post_X_disp,321184,0.010650488416289572,-0.16878129813206091,0.0067876544268475735,8.215650382226158e-15,-0.1831019971787723,-0.15446059908534954,binary
binary_collapsed,high_minus_low_ddd,post_X_treated_X_disp,321184,0.010650488416289572,0.0036760023834931225,0.010599205021743698,0.7329835641628111,-0.01868636548402941,0.026038370251015658,binary
binary_collapsed_group_effects,low_predicted_incidence_effect,post_X_treated_X_low,321184,0.010650488416289128,0.011028120850151075,0.014225672348740531,0.4488556635873371,-0.018985424276372433,0.041041665976674586,binary
binary_collapsed_group_effects,high_predicted_incidence_effect,post_X_treated_X_high,321184,0.010650488416289128,0.014704123233723674,0.014026178081532266,0.30916107340106147,-0.01488852578015542,0.04429677224760277,binary
binary_collapsed_logit,,post_X_treated,321184,,0.05510244834146765,0.11950804471125183,0.6447431366444585,,,binary
binary_collapsed_logit,,post_X_disp,321184,,1.6677268596368788,0.0400458217196215,0.0,,,binary
binary_collapsed_logit,,post_X_treated_X_disp,321184,,0.011064311030824583,0.09012328856939776,0.9022903303277561,,,binary
score_collapsed,,post_X_treated,321184,0.016145973119031987,0.01093363422651181,0.013925993138034727,0.4431856637965441,-0.018447643032911843,0.04031491148593547,score
score_collapsed,,post_X_score,321184,0.016145973119031987,-0.2925517808788357,0.011875255777628936,9.547918011776346e-15,-0.31760638050923073,-0.2674971812484407,score
score_collapsed,,post_X_treated_X_score,321184,0.016145973119031987,0.009737187621826463,0.015424124619214503,0.5362437548390768,-0.022804870774232575,0.042279246017885505,score
event_att,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",321184,0.00011149021655010305,0.00017779324838916244,0.016241479164211058,0.9913932825146896,-0.034088732499316356,0.03444431899609469,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",321184,0.00011149021655010305,-0.004064746928760557,0.01815552260085053,0.8255153669802553,-0.042369551335737395,0.03424005747821628,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",321184,0.00011149021655010305,0.0030067384477686717,0.013294136354241625,0.8237659501964936,-0.02504143752624872,0.031054914421786064,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[1]:treated",321184,0.00011149021655010305,0.014761715463658306,0.01005680028568453,0.1604077762819882,-0.0064562784422360995,0.03597970936955271,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[2]:treated",321184,0.00011149021655010305,0.003482303828625765,0.012866849257079961,0.789925214577508,-0.02366437517159283,0.03062898282884436,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[3]:treated",321184,0.00011149021655010305,0.028021618471871387,0.012791525254147373,0.04270326256888746,0.0010338592264247173,0.05500937771731806,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[4]:treated",321184,0.00011149021655010305,0.009904242444702947,0.013652091974389598,0.4780299569156736,-0.01889915387287558,0.03870763876228147,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",321184,0.015191834127634585,0.002925507230081601,0.016186673732195827,0.8587123084608965,-0.031225389163408314,0.037076403623571515,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",321184,0.015191834127634585,-0.002142152642661867,0.017263684427538725,0.9027038737643911,-0.038565342978679175,0.034281037693355436,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",321184,0.015191834127634585,0.015323618202404441,0.012258483554482216,0.2282192075022509,-0.010539521361454002,0.041186757766262884,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated",321184,0.015191834127634585,0.016844854487331647,0.012698909969570224,0.2022257503281375,-0.009947503587968698,0.04363721256263199,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:treated",321184,0.015191834127634585,0.011108323157694708,0.01081059093526635,0.31856525316104567,-0.011700030003112417,0.03391667631850183,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:treated",321184,0.015191834127634585,0.02597520379432118,0.012114237412478631,0.04676753066467487,0.000416396987904237,0.051534010600738124,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:treated",321184,0.015191834127634585,0.007432828769796453,0.011489725289951461,0.5263287245075441,-0.016808372631967,0.03167403017155991,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",321184,0.015191834127634585,-0.014506112194735323,0.027695373159835075,0.6071973848441818,-0.07293824192125833,0.043926017531787695,event_study
