menu_metric,n_closures,wls_slope_per_sd,permutation_pvalue_two_sided,pearson_correlation
core_coverage_early_did,18,-0.0011066207198952567,0.9638072385522896,-0.12441882324791027
rarefied_products_50_early_did,17,0.010560503674190778,0.6210757848430314,0.09391732232181756
menu_jaccard_pre_early_did,18,-0.00108957487291932,0.9620075984803039,-0.008611571329337903
