closure_event_id,core_coverage_early_did,rarefied_products_50_early_did,menu_jaccard_pre_early_did
dept_121_closure_2021-08-03,0.09619105120053884,0.32500000000000284,0.029394898471221342
dept_124_closure_2021-07-22,0.11313842967068766,-1.4499999999999993,0.06605056366833939
dept_131_closure_2021-08-29,-0.13950844088967973,-0.9550000000000018,-0.0883928708013762
dept_133_closure_2021-07-28,-0.2610249117369129,-3.315999999999999,-0.10585907273027118
dept_182_closure_2021-08-03,0.2652672099005271,3.8266666666666644,0.35821722018512847
dept_19_closure_2021-07-15,0.022978142076502728,-2.6229999999999976,-0.028793259370093027
dept_220_closure_2021-08-03,0.21961588311535285,5.956666666666667,0.15823285214982064
dept_238_closure_2021-07-24,0.10794235794235785,-4.0000000000000036,0.053775895895919246
dept_246_closure_2021-07-27,0.09233716475095788,,0.00624382359995046
dept_39_closure_2021-07-25,-0.14410676899709973,-3.7099999999999973,0.006079454926466887
dept_3_closure_2021-08-09,0.16937119675456402,1.629999999999999,0.1350966215429097
dept_44_closure_2021-07-24,-0.14126290098104566,-1.6199999999999974,-0.11796696287225372
dept_46_closure_2021-08-04,0.20948674642127785,6.363999999999997,0.2487740466587739
dept_47_closure_2021-07-30,-0.11245845385827491,-0.850000000000005,0.06150134336239643
dept_59_closure_2021-08-03,-0.04221061037210316,0.3780000000000001,-0.02129719131588048
dept_5_closure_2021-08-18,-0.12422022247016984,-4.2225,-0.011184620109318144
dept_62_closure_2021-08-04,-0.0033887945670628694,4.554999999999996,0.015128143325690346
dept_8_closure_2021-05-27,0.14806717420510507,4.109999999999996,0.17846912755858324
