term,coef,se_crv1,pvalue_crv1,ci_low,ci_high,n,n_clusters,event_store_pairs,within_r2,outcome,sample,relative_week
week_2,0.005878625002912904,0.018534751147361743,0.7549784252207786,-0.03322628169905232,0.04498353170487813,72,18,18,0.11606058788735263,core_coverage,complete_4_post_weeks,2
week_3,-0.06478472513710187,0.0543733868760715,0.24983513761526746,-0.17950254378778774,0.049933093513584006,72,18,18,0.11606058788735263,core_coverage,complete_4_post_weeks,3
week_4,-0.08399266825190232,0.053745819453418685,0.1365281236067724,-0.19738643537813466,0.02940109887433001,72,18,18,0.11606058788735263,core_coverage,complete_4_post_weeks,4
week_2,0.005878625002912904,0.018534751147361743,0.7549784252207786,-0.03322628169905232,0.04498353170487813,72,18,18,0.11606058788735263,core_coverage,available_post_weeks,2
week_3,-0.06478472513710187,0.0543733868760715,0.24983513761526746,-0.17950254378778774,0.049933093513584006,72,18,18,0.11606058788735263,core_coverage,available_post_weeks,3
week_4,-0.08399266825190232,0.053745819453418685,0.1365281236067724,-0.19738643537813466,0.02940109887433001,72,18,18,0.11606058788735263,core_coverage,available_post_weeks,4
week_2,0.30187499999999945,0.7351447274079137,0.687147178833097,-1.2650488951539305,1.8687988951539294,64,16,16,0.24257273794713852,rarefied_products_50,complete_4_post_weeks,2
week_3,-0.703125,0.6005555861358167,0.25994725138801605,-1.9831789311522994,0.5769289311522994,64,16,16,0.24257273794713852,rarefied_products_50,complete_4_post_weeks,3
week_4,-1.6600000000000006,0.5552351074906593,0.00916241659602653,-2.843455617539548,-0.47654438246045294,64,16,16,0.24257273794713852,rarefied_products_50,complete_4_post_weeks,4
week_2,0.24941176470588178,0.6922543197987696,0.7233429432223477,-1.2181018362441665,1.71692536565593,66,17,17,0.24096137987060673,rarefied_products_50,available_post_weeks,2
week_3,-0.7293566176470587,0.5842525366917836,0.2298589376450221,-1.967916666263289,0.5092034309691715,66,17,17,0.24096137987060673,rarefied_products_50,available_post_weeks,3
week_4,-1.6862316176470595,0.540304654486696,0.006585209011732917,-2.831626317887184,-0.5408369174069352,66,17,17,0.24096137987060673,rarefied_products_50,available_post_weeks,4
week_2,-0.009989916568602717,0.01294756964087474,0.45096355367576146,-0.037306900692000204,0.017327067554794767,72,18,18,0.24287957539142313,menu_jaccard_pre,complete_4_post_weeks,2
week_3,-0.07632516473968513,0.04104384633729726,0.08033712374550267,-0.16292011111630622,0.010269781636935968,72,18,18,0.24287957539142313,menu_jaccard_pre,complete_4_post_weeks,3
week_4,-0.1111435261688984,0.04031406730065772,0.01347049982307627,-0.1961987733656413,-0.0260882789721555,72,18,18,0.24287957539142313,menu_jaccard_pre,complete_4_post_weeks,4
week_2,-0.009989916568602717,0.01294756964087474,0.45096355367576146,-0.037306900692000204,0.017327067554794767,72,18,18,0.24287957539142313,menu_jaccard_pre,available_post_weeks,2
week_3,-0.07632516473968513,0.04104384633729726,0.08033712374550267,-0.16292011111630622,0.010269781636935968,72,18,18,0.24287957539142313,menu_jaccard_pre,available_post_weeks,3
week_4,-0.1111435261688984,0.04031406730065772,0.01347049982307627,-0.1961987733656413,-0.0260882789721555,72,18,18,0.24287957539142313,menu_jaccard_pre,available_post_weeks,4
