treated_store,post,core_coverage,rarefied_products_50,menu_jaccard_pre,n_baskets
0,0,0.9239648603741933,28.204508474576272,0.7512941963778845,437.1222222222222
0,1,0.7647487774583771,27.813924914675766,0.581263066048368,413.6694444444444
1,0,0.9055966599356786,29.024264705882356,0.7149216222144777,395.80555555555554
1,1,0.73297831812429,28.89507462686567,0.5625891856293904,378.9166666666667
