term,coef,se_crv1,pvalue_crv1,ci_low,ci_high,n,n_clusters,event_store_pairs,within_r2,outcome,relative_week
rt_m4_X_treated_store,-0.013272246311858157,0.06788823445413819,0.8473180965471545,-0.15650390091479016,0.12995940829107383,736,18,92,0.01508273057155618,core_coverage,-4
rt_m3_X_treated_store,0.04405054839552228,0.025740847428132173,0.10520666304722462,-0.01025789249497814,0.09835898928602271,736,18,92,0.01508273057155618,core_coverage,-3
rt_m2_X_treated_store,0.05193847816801449,0.02404764634357264,0.04536217889106908,0.0012023793021218032,0.10267457703390717,736,18,92,0.01508273057155618,core_coverage,-2
rt_p1_X_treated_store,0.02054920673827705,0.03648206819883592,0.580606095683786,-0.056421229059199454,0.09751964253575356,736,18,92,0.01508273057155618,core_coverage,1
rt_p2_X_treated_store,0.0325996075567608,0.034918337648392736,0.3635843229363388,-0.04107164516585702,0.10627086027937863,736,18,92,0.01508273057155618,core_coverage,2
rt_p3_X_treated_store,-0.022153006344228714,0.060285716217250644,0.7178055189823089,-0.1493447495402145,0.10503873685175709,736,18,92,0.01508273057155618,core_coverage,3
rt_p4_X_treated_store,0.00015600191196690384,0.06260606961233567,0.9980408393403801,-0.1319312590230474,0.1322432628469812,736,18,92,0.01508273057155618,core_coverage,4
rt_m4_X_treated_store,0.7514803821307123,0.750209882433273,0.3305373929642601,-0.8313241144714061,2.3342848787328307,723,18,92,0.0141988600943731,rarefied_products_50,-4
rt_m3_X_treated_store,-0.515198284830168,0.7113455457145337,0.4787566350498119,-2.016006198400936,0.9856096287406001,723,18,92,0.0141988600943731,rarefied_products_50,-3
rt_m2_X_treated_store,-0.24080322310177318,0.6322795361580538,0.7080324249652521,-1.5747964380331727,1.0931899918296264,723,18,92,0.0141988600943731,rarefied_products_50,-2
rt_p1_X_treated_store,0.1935253947240828,0.8753195718185514,0.8276551948596912,-1.6532374734809663,2.040288262929132,723,18,92,0.0141988600943731,rarefied_products_50,1
rt_p2_X_treated_store,0.7295915841584156,0.9006723206965855,0.4291041939562995,-1.1706609085704027,2.629844076887234,723,18,92,0.0141988600943731,rarefied_products_50,2
rt_p3_X_treated_store,0.30653624995133133,1.0430221215912792,0.7723981037403473,-1.8940480702065632,2.507120570109226,723,18,92,0.0141988600943731,rarefied_products_50,3
rt_p4_X_treated_store,-0.03354190523589782,0.8998722789459301,0.9707006873056,-1.9321064574162665,1.8650226469444708,723,18,92,0.0141988600943731,rarefied_products_50,4
rt_m4_X_treated_store,0.014050846501576758,0.06174055508318704,0.8226881682987458,-0.11621033839699882,0.14431203140015234,736,18,92,0.011857717475502128,menu_jaccard_pre,-4
rt_m3_X_treated_store,0.04654410813172318,0.0350029434023566,0.20117819608148896,-0.027305647128581932,0.12039386339202829,736,18,92,0.011857717475502128,menu_jaccard_pre,-3
rt_m2_X_treated_store,0.027941063875220353,0.025956518012391055,0.2967629834517644,-0.02682240217362984,0.08270452992407054,736,18,92,0.011857717475502128,menu_jaccard_pre,-2
rt_p1_X_treated_store,0.04949538548477073,0.02932784674900305,0.10973660784079338,-0.01238096245058011,0.11137173342012158,736,18,92,0.011857717475502128,menu_jaccard_pre,1
rt_p2_X_treated_store,0.05516177872533557,0.034533603889028056,0.1286107252951611,-0.017697756718456324,0.12802131416912746,736,18,92,0.011857717475502128,menu_jaccard_pre,2
rt_p3_X_treated_store,0.01895820745177758,0.05015481298338,0.7101134757272659,-0.08685919828386741,0.12477561318742257,736,18,92,0.011857717475502128,menu_jaccard_pre,3
rt_p4_X_treated_store,0.023400877074888565,0.04908828106374169,0.6396386564265607,-0.08016634300244718,0.12696809715222432,736,18,92,0.011857717475502128,menu_jaccard_pre,4
