member_id,dept_id,closure_start,closure_end,period,period_start,period_end,is_treated,group,label,displacement_prob,predicted_displaced
4799,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.6938411,1
9955,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.987882,1
11054,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.68997025,1
16629,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.5892837,1
19602,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.6706963,1
25005,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.012241258,0
29715,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.03874568,0
30296,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.96510357,1
36940,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.171665,0
49312,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.32345253,0
53262,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.20981595,0
53600,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.9077732,1
54536,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.4784321,0
63685,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.014238673,0
74967,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.9846736,1
78026,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.52664787,1
78381,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.10779579,0
80875,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.59572834,1
83906,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.044901993,0
84833,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.23091589,0
84890,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.040339783,0
88214,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.2462675,0
90506,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.032702662,0
92624,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.10177758,0
98898,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.072198525,0
101984,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.8834277,1
102933,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.20238544,0
105326,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.055206127,0
107026,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.5596025,1
107497,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.08044534,0
113390,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.4727808,0
117666,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.15839185,0
119702,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.26200628,0
126416,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.1257778,0
126553,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.07588578,0
128380,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.42147812,0
134568,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.03593501,0
134781,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.21432105,0
135495,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.3641814,0
144022,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,0,0.30935478,0
144025,39,2021-07-25,2021-08-19,-4,2021-04-12,2021-05-07,1,treatment,1,0.7794532,1
