feature,importance,rank
days_since_last_purchase,1.8446959257125854,1
total_purchase_days_pre,1.8105639219284058,2
purchases_per_week_last_4w,1.4071115255355835,3
preferred_store_ratio,1.3219358921051025,4
avg_delivery_pay,1.2160470485687256,5
take_address_rate,1.0087393522262573,6
entropy_dow,0.8377853631973267,7
second_store_ratio,0.8059878349304199,8
coupon_usage_rate,0.7769531607627869,9
mean_inter_purchase_interval_days,0.6968032717704773,10
share_purchases_dow3,0.6966032981872559,11
callphone,0.683827817440033,12
share_purchases_dow5,0.6262149810791016,13
total_spend_pre,0.587640643119812,14
avg_coffee_num,0.5618900060653687,15
purchases_per_week_all_pre,0.554689347743988,16
avg_use_coffee_wallet,0.5439697504043579,17
max_gap_between_purchases,0.5368427038192749,18
share_weeks_with_purchase,0.5307862162590027,19
std_inter_purchase_interval_days,0.5272884368896484,20
total_orders_pre,0.5245643258094788,21
level,0.5188133120536804,22
share_purchases_dow0,0.49867403507232666,23
avg_discount_per_order,0.4984579384326935,24
longest_consecutive_streak_days,0.48068130016326904,25
coffee_share_orders,0.480320543050766,26
total_spend_last_4w,0.46853750944137573,27
total_spend_last_2w,0.46646174788475037,28
avg_basket_size,0.4595722258090973,29
share_purchases_dow1,0.4361323118209839,30
n_order_categories_avg,0.4313850402832031,31
manufacturer,0.4080826938152313,32
cv_inter_purchase_interval,0.40795058012008667,33
purchases_per_week_last_1w,0.3812572956085205,34
share_purchases_dow6,0.36109209060668945,35
avg_food_num,0.3399694561958313,36
gender,0.33519473671913147,37
modal_purchase_dow,0.3351268768310547,38
push,0.318779855966568,39
share_purchases_dow4,0.2979922294616699,40
share_purchases_dow2,0.25517597794532776,41
purchases_per_week_last_2w,0.09813258796930313,42
has_inviter,0.07260670512914658,43
purchased_in_last_7_days,0.02544751763343811,44
unique_stores_pre,0.0056313276290893555,45
