feature,importance,rank
purchases_per_week_last_1w,21.564289093017578,1
purchases_per_week_last_2w,11.009444236755371,2
total_purchase_days_pre,7.235818862915039,3
purchases_per_week_last_4w,6.68893575668335,4
total_orders_pre,2.98649001121521,5
take_address_rate,2.2991058826446533,6
days_since_last_purchase,2.1626462936401367,7
mean_inter_purchase_interval_days,2.1518120765686035,8
preferred_store_ratio,2.1356656551361084,9
share_weeks_with_purchase,2.104846239089966,10
total_spend_pre,1.828098177909851,11
coffee_share_orders,1.7968957424163818,12
entropy_dow,1.7872817516326904,13
n_order_categories_avg,1.7770659923553467,14
avg_use_coffee_wallet,1.7666319608688354,15
avg_coffee_num,1.7332814931869507,16
level,1.7319999933242798,17
total_spend_last_4w,1.7113434076309204,18
cv_inter_purchase_interval,1.6947880983352661,19
share_purchases_dow3,1.6646809577941895,20
share_purchases_dow5,1.655643105506897,21
longest_consecutive_streak_days,1.6521649360656738,22
push,1.615506887435913,23
share_purchases_dow0,1.5893694162368774,24
share_purchases_dow6,1.5848602056503296,25
max_gap_between_purchases,1.5678818225860596,26
second_store_ratio,1.5515251159667969,27
avg_food_num,1.5460432767868042,28
purchases_per_week_all_pre,1.5332176685333252,29
avg_discount_per_order,1.5281822681427002,30
share_purchases_dow1,1.5223236083984375,31
unique_stores_pre,1.5199038982391357,32
avg_basket_size,1.4960404634475708,33
std_inter_purchase_interval_days,1.484317421913147,34
coupon_usage_rate,1.4572314023971558,35
share_purchases_dow4,1.4458317756652832,36
share_purchases_dow2,1.4412899017333984,37
avg_delivery_pay,1.4143943786621094,38
callphone,1.4048728942871094,39
manufacturer,1.3853521347045898,40
gender,1.3717767000198364,41
total_spend_last_2w,1.2654327154159546,42
modal_purchase_dow,1.2145205736160278,43
has_inviter,0.7376511693000793,44
purchased_in_last_14_days,0.505581796169281,45
purchased_in_last_7_days,0.39646482467651367,46
