feature,importance,rank
purchases_per_week_last_4w,14.66342830657959,1
days_since_last_purchase,5.635298252105713,2
purchases_per_week_last_2w,4.7015380859375,3
total_purchase_days_pre,4.258730888366699,4
purchases_per_week_all_pre,2.529722213745117,5
preferred_store_ratio,2.221681833267212,6
second_store_ratio,2.131481647491455,7
longest_consecutive_streak_days,2.1054389476776123,8
mean_inter_purchase_interval_days,2.0691142082214355,9
total_spend_pre,1.9551105499267578,10
purchases_per_week_last_1w,1.9320257902145386,11
std_inter_purchase_interval_days,1.9220967292785645,12
total_orders_pre,1.9073295593261719,13
share_purchases_dow0,1.9058923721313477,14
share_purchases_dow2,1.8617609739303589,15
avg_use_coffee_wallet,1.8448753356933594,16
n_order_categories_avg,1.7719570398330688,17
max_gap_between_purchases,1.7491990327835083,18
total_spend_last_4w,1.7377009391784668,19
share_purchases_dow3,1.69922935962677,20
share_purchases_dow1,1.6916451454162598,21
avg_basket_size,1.675537109375,22
share_weeks_with_purchase,1.670768141746521,23
share_purchases_dow4,1.6690016984939575,24
take_address_rate,1.6652193069458008,25
entropy_dow,1.6619246006011963,26
avg_coffee_num,1.6583770513534546,27
avg_delivery_pay,1.6429771184921265,28
coffee_share_orders,1.6416029930114746,29
share_purchases_dow6,1.6331981420516968,30
share_purchases_dow5,1.6240237951278687,31
cv_inter_purchase_interval,1.6217440366744995,32
avg_discount_per_order,1.607494592666626,33
total_spend_last_2w,1.6042332649230957,34
avg_food_num,1.5802901983261108,35
coupon_usage_rate,1.5752367973327637,36
manufacturer,1.5636556148529053,37
push,1.5192261934280396,38
modal_purchase_dow,1.5181705951690674,39
unique_stores_pre,1.5064160823822021,40
level,1.4728659391403198,41
gender,1.407295823097229,42
callphone,1.3833435773849487,43
purchased_in_last_7_days,0.43896907567977905,44
purchased_in_last_14_days,0.33212026953697205,45
has_inviter,0.2131117582321167,46
