feature,importance,rank
purchases_per_week_last_4w,50.729034423828125,1
total_purchase_days_pre,21.891395568847656,2
purchases_per_week_last_2w,17.264854431152344,3
days_since_last_purchase,11.056026458740234,4
total_spend_last_4w,8.007328033447266,5
purchases_per_week_last_1w,7.43550968170166,6
purchases_per_week_all_pre,6.847989559173584,7
preferred_store_ratio,5.264610767364502,8
share_push_discount_28d,4.142753601074219,9
share_weeks_with_purchase,4.029021263122559,10
second_store_ratio,3.9317429065704346,11
std_inter_purchase_interval_days,3.8838083744049072,12
ratio_trigger_t_4_7d,3.5260708332061768,13
p_purchase_within_7d_trigger_t_1,3.3966147899627686,14
max_gap_between_purchases,3.3391976356506348,15
ratio_trigger_t_1_among_followed_by_purchase_7d,3.228334426879883,16
mean_inter_purchase_interval_days,3.216958522796631,17
mean_coupon_28d,3.2037265300750732,18
longest_consecutive_streak_days,3.1897552013397217,19
share_purchases_dow0,3.172623634338379,20
share_push_followed_by_purchase_7d,3.166459798812866,21
n_push_with_coupon_28d,3.143829822540283,22
total_orders_pre,3.1336355209350586,23
take_address_rate,3.1186764240264893,24
mean_latency_days_trigger_t_2,3.1039559841156006,25
cv_inter_purchase_interval,3.1035866737365723,26
ratio_trigger_t_2_among_followed_by_purchase_7d,3.094210147857666,27
p_purchase_within_7d_trigger_t_4,3.0810816287994385,28
n_push_resolved_pre,3.0684356689453125,29
coffee_share_orders,3.0596423149108887,30
days_since_last_push,3.0556840896606445,31
n_distinct_trigger_14d,3.0456738471984863,32
avg_food_num,3.0354740619659424,33
p_purchase_within_7d_trigger_t_2,3.035390615463257,34
p_purchase_within_7d_trigger_t_3,3.006661891937256,35
ratio_trigger_t_2_28d,3.0037102699279785,36
ratio_trigger_t_2_14d,3.0021276473999023,37
total_spend_pre,2.9834065437316895,38
coupon_usage_rate,2.9804608821868896,39
mean_latency_days_trigger_t_3,2.970733404159546,40
share_purchases_dow5,2.9705097675323486,41
mean_latency_days_trigger_t_1,2.9651694297790527,42
ratio_trigger_t_3_among_followed_by_purchase_7d,2.9510154724121094,43
median_latency_push_to_purchase_days,2.9506874084472656,44
callphone,2.931101083755493,45
entropy_dow,2.9291412830352783,46
avg_delivery_pay,2.9108572006225586,47
avg_basket_size,2.9070703983306885,48
ratio_trigger_t_1_7d,2.903123140335083,49
ratio_trigger_t_3_14d,2.8951046466827393,50
share_purchases_dow3,2.8831777572631836,51
avg_coffee_num,2.881868600845337,52
avg_use_coffee_wallet,2.879120111465454,53
share_purchases_dow6,2.8717458248138428,54
n_order_categories_avg,2.8659448623657227,55
mean_latency_days_trigger_t_4,2.8530333042144775,56
n_push_14d,2.8400044441223145,57
ratio_trigger_t_1_28d,2.8205370903015137,58
share_purchases_dow4,2.8171653747558594,59
avg_discount_per_order,2.7977664470672607,60
share_purchases_dow2,2.7908663749694824,61
mean_latency_push_to_purchase_days,2.768265962600708,62
manufacturer,2.7616119384765625,63
ratio_trigger_t_1_14d,2.708909511566162,64
share_purchases_dow1,2.7041351795196533,65
gender,2.661020278930664,66
total_spend_last_2w,2.635082960128784,67
level,2.571012496948242,68
mean_discount_28d,2.5125927925109863,69
push,2.508057117462158,70
n_push_7d,2.469137191772461,71
modal_purchase_dow,2.446965217590332,72
ratio_trigger_t_3_28d,2.44250226020813,73
ratio_trigger_t_4_among_followed_by_purchase_7d,2.4250118732452393,74
ratio_trigger_t_2_7d,2.386070489883423,75
n_push_28d,2.369863271713257,76
ratio_trigger_t_4_28d,2.322542190551758,77
ratio_trigger_t_4_14d,2.2283763885498047,78
n_push_with_discount_28d,2.173003911972046,79
n_push_since_last_purchase,2.146353244781494,80
n_distinct_trigger_28d,2.117605209350586,81
ratio_trigger_t_3_7d,2.0672500133514404,82
n_distinct_trigger_7d,2.0148606300354004,83
unique_stores_pre,1.9337135553359985,84
has_inviter,0.8993988037109375,85
purchased_in_last_14_days,0.5140445828437805,86
purchased_in_last_7_days,0.47299593687057495,87
