feature,importance,rank
purchases_per_week_last_4w,14.022499084472656,1
purchases_per_week_last_2w,9.302631378173828,2
days_since_last_purchase,8.383392333984375,3
purchases_per_week_all_pre,3.2245054244995117,4
total_purchase_days_pre,2.828895092010498,5
p_purchase_within_7d_trigger_t_4,2.653567314147949,6
std_inter_purchase_interval_days,2.5414319038391113,7
purchases_per_week_last_1w,2.5203750133514404,8
unique_stores_pre,2.5203583240509033,9
preferred_store_ratio,2.3006937503814697,10
mean_latency_days_trigger_t_3,2.2789306640625,11
share_weeks_with_purchase,2.1093239784240723,12
ratio_trigger_t_4_among_followed_by_purchase_7d,1.9974030256271362,13
second_store_ratio,1.8755351305007935,14
gender,1.8370357751846313,15
ratio_trigger_t_2_among_followed_by_purchase_7d,1.8367239236831665,16
p_purchase_within_7d_trigger_t_1,1.7769441604614258,17
mean_coupon_28d,1.7707221508026123,18
ratio_trigger_t_1_among_followed_by_purchase_7d,1.7663710117340088,19
mean_latency_days_trigger_t_1,1.744053602218628,20
share_purchases_dow1,1.7432781457901,21
n_order_categories_avg,1.7276127338409424,22
mean_latency_days_trigger_t_4,1.7172386646270752,23
avg_food_num,1.703245759010315,24
n_distinct_trigger_7d,1.6985774040222168,25
take_address_rate,1.6980388164520264,26
share_push_discount_28d,1.6751190423965454,27
share_purchases_dow5,1.6486515998840332,28
cv_inter_purchase_interval,1.6415623426437378,29
longest_consecutive_streak_days,1.6353172063827515,30
median_latency_push_to_purchase_days,1.6164051294326782,31
mean_inter_purchase_interval_days,1.6121692657470703,32
push,1.6009843349456787,33
share_purchases_dow6,1.597730040550232,34
manufacturer,1.5955578088760376,35
share_push_coupon_28d,1.5914463996887207,36
ratio_trigger_t_1_28d,1.5898501873016357,37
n_distinct_trigger_14d,1.572077751159668,38
max_gap_between_purchases,1.5679211616516113,39
n_distinct_trigger_28d,1.5574424266815186,40
share_purchases_dow0,1.5541086196899414,41
p_purchase_within_7d_trigger_t_3,1.553748607635498,42
entropy_dow,1.5477691888809204,43
days_since_last_push,1.5448049306869507,44
share_purchases_dow3,1.5252517461776733,45
n_push_resolved_pre,1.5227686166763306,46
modal_purchase_dow,1.5175637006759644,47
n_push_7d,1.5108774900436401,48
ratio_trigger_t_2_7d,1.5056567192077637,49
mean_latency_days_trigger_t_2,1.5010080337524414,50
avg_coffee_num,1.49974524974823,51
coffee_share_orders,1.494195580482483,52
ratio_trigger_t_3_among_followed_by_purchase_7d,1.483269214630127,53
share_push_followed_by_purchase_7d,1.4806667566299438,54
n_push_since_last_purchase,1.4730288982391357,55
purchased_in_last_7_days,1.465202808380127,56
mean_latency_push_to_purchase_days,1.4546679258346558,57
total_spend_pre,1.452264666557312,58
share_purchases_dow2,1.4353184700012207,59
avg_discount_per_order,1.4340252876281738,60
ratio_trigger_t_3_14d,1.4234870672225952,61
share_purchases_dow4,1.422223448753357,62
ratio_trigger_t_2_14d,1.4165027141571045,63
ratio_trigger_t_2_28d,1.4130529165267944,64
n_push_with_discount_28d,1.4082753658294678,65
total_spend_last_4w,1.4053784608840942,66
ratio_trigger_t_3_28d,1.4004757404327393,67
coupon_usage_rate,1.3929117918014526,68
total_spend_last_2w,1.3910446166992188,69
n_push_28d,1.389541506767273,70
n_push_14d,1.3761451244354248,71
avg_delivery_pay,1.3657093048095703,72
mean_discount_28d,1.3633209466934204,73
p_purchase_within_7d_trigger_t_2,1.3538730144500732,74
callphone,1.351889967918396,75
ratio_trigger_t_1_14d,1.3508657217025757,76
avg_basket_size,1.3403561115264893,77
ratio_trigger_t_3_7d,1.3399924039840698,78
level,1.3209400177001953,79
total_orders_pre,1.303112268447876,80
avg_use_coffee_wallet,1.2983593940734863,81
ratio_trigger_t_1_7d,1.293233036994934,82
n_push_with_coupon_28d,1.1615766286849976,83
ratio_trigger_t_4_28d,0.9808467030525208,84
ratio_trigger_t_4_14d,0.8696778416633606,85
ratio_trigger_t_4_7d,0.7991237640380859,86
purchased_in_last_14_days,0.7525575757026672,87
has_inviter,0.12688441574573517,88
