member_id,dept_id,closure_start,closure_end,period,period_start,period_end,is_treated,group,label,displacement_prob,predicted_displaced
4321,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9201031,1
7655,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.004049964,0
8445,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.759923,1
13420,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.1902666,0
24244,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9602483,1
27159,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.07089563,0
31500,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.18735942,0
34938,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.7043769,1
40438,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.039702095,0
41365,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.97785395,1
44187,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.089931056,0
44891,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.96108013,1
50058,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.096833915,0
50439,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.7211429,1
51713,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.018948497,0
53013,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0046239663,0
53411,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.11107512,0
54406,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0069003175,0
56741,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9163624,1
57439,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.006651864,0
58200,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.87144,1
62072,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.88491327,1
62796,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.047085855,0
63192,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.20686501,0
71765,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.022786513,0
74947,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.006978554,0
75029,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.870007,1
81794,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.1960201,0
82996,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.057559617,0
85643,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.804975,1
86497,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0047061765,0
87171,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.24699892,0
87306,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.052828193,0
87641,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.03644896,0
89277,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.94606674,1
89280,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.08224977,0
96217,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.017439952,0
96877,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.13334744,0
98795,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.19348648,0
99075,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0030224735,0
99239,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.19158876,0
103951,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.02730259,0
118248,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.99724674,1
119118,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.28767064,0
120755,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.37552628,0
123221,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.06519885,0
125153,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0019548845,0
125423,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0031027056,0
127013,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.97572076,1
129409,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9517334,1
131950,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9787114,1
136471,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.11832478,0
137350,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.09985514,0
138475,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0382935,0
139316,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9100627,1
141214,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9866187,1
152818,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.95281297,1
161667,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.048626736,0
166945,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0034374618,0
172924,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.017141776,0
179011,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0059700464,0
181802,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.030890895,0
182322,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.8221155,1
186453,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.7014105,1
187227,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9403819,1
190402,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.02078116,0
193113,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.088693604,0
197456,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.003136125,0
197509,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0068478137,0
197921,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0074495743,0
199933,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.13781945,0
203213,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.012032737,0
204971,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.015712822,0
208051,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.026315188,0
208945,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.014209609,0
211737,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.98091125,1
215509,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9008359,1
219576,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.08774177,0
222284,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.032145746,0
232725,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.8593871,1
235284,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.96596766,1
242026,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.004279476,0
242630,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.20415506,0
245194,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.87537295,1
245343,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0051864274,0
246527,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.92450356,1
259357,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9925483,1
261408,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.07925864,0
263424,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.06713263,0
264024,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.15296988,0
267705,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.007893321,0
273181,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.020892428,0
277364,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.015993208,0
277583,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0012825204,0
279751,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.04529617,0
281667,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.95714444,1
284840,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.8895575,1
284882,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.938193,1
286073,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.018703552,0
292341,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.95711845,1
293606,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9046937,1
293705,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0017317644,0
295711,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.69513243,1
299205,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9446854,1
299253,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0016596186,0
300049,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.97983164,1
304302,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0078024445,0
307505,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.98496234,1
313745,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.013410225,0
318554,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.037502054,0
326104,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.0007600011,0
326761,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9264736,1
327403,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.8505983,1
327486,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9908454,1
329386,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.012976882,0
331088,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.06380155,0
331629,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.08422333,0
341273,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.004861836,0
342521,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,1,0.9855258,1
345626,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.006285826,0
346148,44,2021-07-24,2021-08-05,-4,2021-06-02,2021-06-14,1,treatment,0,0.018972533,0
