member_id,dept_id,closure_start,closure_end,period,period_start,period_end,is_treated,group,label,displacement_prob,predicted_displaced
4078,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.07555391,0
4219,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.028956493,0
5264,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.016749013,0
6242,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.75617605,1
7295,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.84390026,1
8407,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.040283367,0
9160,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.033982493,0
9816,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.095670715,0
14194,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.5530939,1
19097,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.110286996,0
22301,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.3995359,0
25399,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.026994286,0
26229,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.009228377,0
28610,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.20278287,0
29726,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.009637542,0
29733,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.03888605,0
31139,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.0797383,0
34085,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.07913218,0
34393,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.10696334,0
35399,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.13543081,0
37330,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.07850932,0
40454,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.53247184,1
41186,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.0021004954,0
47222,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.27604392,0
48637,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.13880648,0
48741,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.85806584,1
51232,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.49443045,0
51386,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.26430282,0
51500,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.9667363,1
52042,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.7543224,1
56378,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.027028557,0
56866,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.42521855,0
62440,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.028063672,0
62483,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.7830513,1
64080,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.16948356,0
66222,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.08511737,0
70714,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.3613466,0
77967,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.023404676,0
78273,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.000611414,0
82498,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.34080973,0
85561,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.7804681,1
88081,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.016726546,0
88710,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.024287334,0
90245,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.33958682,0
91438,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.39488393,0
95515,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.06926416,0
96414,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.3080244,0
98990,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.016021546,0
101470,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.07276817,0
110355,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.002181728,0
111416,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.12864073,0
113612,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.77869004,1
113898,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.63055325,1
115199,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.8534232,1
116937,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.027246965,0
121722,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.90096223,1
124456,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.0147088235,0
124806,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.029157301,0
127021,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.05114483,0
130629,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.040151574,0
131102,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.99068975,1
132690,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.8905034,1
133975,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.069111444,0
134444,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.7857434,1
135292,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.9987822,1
136578,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.028069232,0
137648,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.41817504,0
148355,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.16133279,0
149461,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.25043085,0
151036,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.045941405,0
156135,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.030962514,0
156528,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.13445066,0
157172,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.72786593,1
161725,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.5721923,1
175042,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.011898567,0
178793,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.110819995,0
186124,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.82268417,1
197280,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.015191753,0
198556,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.044259433,0
198622,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.003159872,0
198698,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.9180011,1
199094,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.17691845,0
199340,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.018462723,0
206368,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.01758469,0
207424,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.24034496,0
214084,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.9064238,1
214503,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.0010384886,0
214994,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.079572596,0
219180,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.9542585,1
220587,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.83937305,1
224945,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.16255735,0
225305,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.034194145,0
226538,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.6896349,1
232757,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.13852948,0
237202,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.04788506,0
241800,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.77425694,1
244391,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.065569766,0
245282,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.017577128,0
249174,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,1,0.9885516,1
249540,225,2021-02-09,2021-02-18,-4,2020-12-31,2021-01-09,1,treatment,0,0.05514496,0
