member_id,dept_id,closure_start,closure_end,period,period_start,period_end,is_treated,group,label,displacement_prob,predicted_displaced
618796,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9661026,1
620301,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.96404845,1
620715,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.8551456,1
621150,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9917303,1
621959,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.962002,1
623077,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.052395545,0
623570,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9806651,1
623571,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.04664234,0
623990,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9669949,1
624163,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.97712004,1
624738,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.92183113,1
625000,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.020045735,0
625942,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.04674408,0
625951,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.89880574,1
626885,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.92289764,1
626912,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.99937314,1
628172,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.98748475,1
628895,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.8565305,1
628916,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.90080935,1
629054,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.121045776,0
632494,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.01693131,0
633204,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9309873,1
634956,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.99869746,1
635961,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9698674,1
639607,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.93310225,1
641378,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.10600363,0
641448,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.97044253,1
643325,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.008728271,0
643353,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.00736894,0
643527,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.7794024,1
644691,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.13030267,0
644927,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.04568437,0
645585,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9961145,1
646380,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.11572275,0
646592,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.92130226,1
646660,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.107480556,0
647478,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9223458,1
647559,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.77563787,1
648431,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9644564,1
649576,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.93320596,1
650442,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.99765044,1
650563,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9947725,1
651521,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9622721,1
652243,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.051895455,0
653097,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.024398046,0
654920,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.86371285,1
655190,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.0069164494,0
655532,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9761622,1
656155,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.97449476,1
656181,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9002349,1
656624,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.99546874,1
656820,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.98787785,1
657114,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.7732033,1
658011,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.97301406,1
660385,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.033240877,0
661140,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9083953,1
661179,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.008363842,0
662160,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.011171002,0
662278,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9973022,1
663773,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9972861,1
664482,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.16638538,0
664661,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9307438,1
664665,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.03563061,0
664811,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.091377065,0
665947,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.058348812,0
666978,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9820747,1
666983,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.80575305,1
666985,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.98283964,1
669116,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.016110575,0
670707,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9727381,1
670834,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.009171182,0
671785,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.10891287,0
672167,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9574996,1
673026,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.07776247,0
673269,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.05677269,0
676267,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.12432849,0
676487,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.99343735,1
677050,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.116340555,0
677420,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9951047,1
677739,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.8362636,1
678046,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9220746,1
678526,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9973909,1
678840,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9802643,1
678884,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9514231,1
681428,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.018755795,0
