outcome,term,coef,se,pvalue,n
variety_seeking,post_X_treated_non_cross_X_disp,-0.03216263702815011,0.015344560737870041,0.03609039144000392,99644
variety_seeking,post_X_treated_cross_X_disp,-0.0655398265754964,0.04098243717706162,0.10978582848630936,99644
