member_id,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount
22147.0,0,2,2.0,0,0
46834.0,0,2,6.0,0,0
54491.0,0,2,5.0,0,0
59448.0,0,2,11.0,0,0
75422.0,0,2,3.0,0,0
82494.0,0,2,6.0,0,0
90047.0,0,2,2.0,0,0
99591.0,0,2,6.0,0,0
123630.0,0,2,1.0,0,0
123955.0,0,2,6.0,0,0
126532.0,0,2,3.0,0,0
129566.0,0,2,4.0,0,0
146423.0,0,2,1.0,0,0
151092.0,0,2,3.0,0,0
173692.0,0,2,3.0,0,0
185417.0,0,2,4.0,0,0
187335.0,0,2,1.0,0,0
194265.0,0,2,28.0,0,0
232303.0,0,2,1.0,0,0
256371.0,0,2,1.0,0,0
270470.0,0,2,2.0,0,0
276706.0,0,2,3.0,0,0
288017.0,0,2,5.0,0,0
289774.0,0,2,5.0,0,0
304474.0,0,2,5.0,0,0
308293.0,0,2,2.0,0,0
313136.0,0,2,3.0,0,0
319181.0,0,2,2.0,0,0
364592.0,0,2,3.0,0,0
380657.0,0,2,2.0,0,0
381268.0,0,2,8.0,0,0
383281.0,0,2,118.0,0,0
386119.0,0,2,3.0,0,0
423421.0,0,2,1.0,0,0
425618.0,0,2,17.0,0,0
427079.0,0,2,35.0,0,0
429783.0,0,2,2.0,0,0
443388.0,0,2,5.0,0,0
454165.0,0,2,2.0,0,0
479462.0,0,2,4.0,0,0
488595.0,0,2,6.0,0,0
492844.0,0,2,60.0,0,0
509879.0,0,2,14.0,0,0
514568.0,0,2,9.0,0,0
536190.0,0,2,4.0,0,0
536482.0,0,2,4.0,0,0
549078.0,0,2,1.0,0,0
549996.0,0,2,2.0,0,0
551127.0,0,2,7.0,0,0
586416.0,0,2,1.0,0,0
594551.0,0,2,6.0,0,0
601435.0,0,2,1.0,0,0
610990.0,0,2,1.0,0,0
631184.0,0,2,4.0,0,0
632534.0,0,2,3.0,0,0
652136.0,0,2,25.0,0,0
658184.0,0,2,1.0,0,0
662477.0,0,2,1.0,0,0
674677.0,0,2,4.0,0,0
683263.0,0,2,4.0,0,0
698836.0,0,2,3.0,0,0
703813.0,0,2,1.0,0,0
707445.0,0,2,6.0,0,0
709853.0,0,2,2.0,0,0
715540.0,0,2,1.0,0,0
732185.0,0,2,5.0,0,0
750464.0,0,2,1.0,0,0
765001.0,0,2,2.0,0,0
775109.0,0,2,5.0,0,0
777377.0,0,2,1.0,0,0
39126.0,0,3,2.0,0,0
54491.0,0,3,2.0,0,0
90047.0,0,3,1.0,0,0
108479.0,0,3,3.0,0,0
126532.0,0,3,2.0,0,0
151092.0,0,3,2.0,0,0
151482.0,0,3,4.0,0,0
177979.0,0,3,22.0,0,0
194265.0,0,3,60.0,0,0
249634.0,0,3,4.0,0,0
256371.0,0,3,13.0,0,0
264715.0,0,3,2.0,0,0
270470.0,0,3,5.0,0,0
276706.0,0,3,1.0,0,0
289774.0,0,3,7.0,0,0
304474.0,0,3,8.0,0,0
308293.0,0,3,26.0,0,0
316499.0,0,3,1.0,0,0
319181.0,0,3,2.0,0,0
360023.0,0,3,4.0,0,0
364592.0,0,3,2.0,0,0
380657.0,0,3,2.0,0,0
381268.0,0,3,4.0,0,0
448300.0,0,3,5.0,0,0
512059.0,0,3,5.0,0,0
514568.0,0,3,1.0,0,0
549996.0,0,3,2.0,0,0
576332.0,0,3,4.0,0,0
583656.0,0,3,4.0,0,0
601435.0,0,3,2.0,0,0
610990.0,0,3,2.0,0,0
632534.0,0,3,1.0,0,0
655050.0,0,3,5.0,0,0
683263.0,0,3,3.0,0,0
701826.0,0,3,1.0,0,0
703813.0,0,3,1.0,0,0
709374.0,0,3,4.0,0,0
715540.0,0,3,1.0,0,0
731093.0,0,3,3.0,0,0
732185.0,0,3,5.0,0,0
733693.0,0,3,4.0,0,0
760295.0,0,3,4.0,0,0
765001.0,0,3,4.0,0,0
777377.0,0,3,2.0,0,0
22147.0,0,4,6.0,0,0
39126.0,0,4,5.0,0,0
54491.0,0,4,2.0,0,0
59448.0,0,4,1.0,0,0
