group,rel_t,mean,std
control,-4,0.540906048906049,0.43237442103693813
control,-3,0.5252510528020732,0.4271586025039725
control,-2,0.4757950731069011,0.43072801599020205
control,-1,0.4195090439276486,0.4437286192172406
control,0,0.08699429358520266,0.2599120267631228
control,1,0.3852508178844057,0.42736795279521245
control,2,0.4789727952387075,0.4292717422926741
control,3,0.5936139332365747,0.41937219708667334
control,4,0.4683382173382173,0.44448164655175526
treatment,-4,0.5355850867478775,0.4266072995632228
treatment,-3,0.41914414414414414,0.43801199597523266
treatment,-2,0.4173809523809524,0.45010282638671195
treatment,-1,0.4511904761904762,0.4362193392027167
treatment,0,0.03797123015873016,0.16858918103690415
treatment,1,0.403265306122449,0.3805123008294584
treatment,2,0.5246913580246914,0.44203575109809246
treatment,3,0.48586309523809523,0.4279736127841742
treatment,4,0.4608024691358025,0.44686372034885413
