dept_id,closure_start,closure_end,closure_duration_days,selection_mode,lowest_purchases,lowest_ratio,min_group_size,min_ctrl_treat_ratio,treated_store_set_up_time,treated_store_address,control_store_ids,control_store_set_up_times,control_store_addresses,n_control_stores,n_treatment,n_control,treatment_purchase_rate_during,control_purchase_rate_during,selectivity_ratio,status,skip_reason
57,2021-07-01,2021-07-14,14,set_up_time_matched,5,0.8,50,2.0,2018-03-05,建邺区白龙江东街22号艺树家工场一层大堂,237|222|221|229|218,2018-04-04|2018-04-04|2018-05-29|2018-05-30|2018-05-31,"秦淮区永丰大道36号天安数码城2栋一层102、103单元|江宁区清水亭西路51号俊杰科创大厦1层大堂|建邺区庐山路168号新地中心二期E区四层|建邺区梦都大街150号建筑师工社一层大堂|雨花台区民智路11号喜马拉雅A,B栋一层大堂",5,855,1500,0.2198830409356725,0.3313333333333333,0.6636309082565569,skipped,low_control_rate
19,2021-07-15,2021-07-25,11,set_up_time_matched,5,0.8,50,2.0,2018-05-30,浦口区浦口大道13号新城总部大厦一层大堂,230|36|224|30|37,2018-08-22|2018-08-23|2018-08-27|2018-08-28|2018-08-29,玄武区珠江路88号新世界中心一层102室|建邺区嘉陵江东街99号金融城1号楼一层大堂|建邺区江东中路河西万达中心A座102-2号|玄武区中央路32号联通大厦一层大堂|秦淮区太平南路305号江苏钟山宾馆集团江苏饭店商务大楼一层大堂,5,597,2764,0.11725293132328309,0.2536179450072359,0.4623211158025028,kept,
124,2021-07-22,2021-08-18,28,set_up_time_matched,5,0.8,50,2.0,2019-05-02,鼓楼区中山路321号南京鼓楼医院新大楼急诊部三层CD区,113|117|114|115|122,2019-04-29|2019-04-29|2019-04-27|2019-04-26|2019-05-14,鼓楼区建宁路65号金川科技园20栋一层1号|江宁区宏运大道4597号景祥大厦B区底商|玄武区北京东路36号兰园集贸市场一层A区2号|秦淮区瑞金路街道蓝旗街188号紫荆大厦一层|建邺区所街171号悦府15号楼底商,5,1291,2029,0.10844306738962045,0.354361754558896,0.3060236213262029,kept,
238,2021-07-24,2021-08-21,29,set_up_time_matched,5,0.8,50,2.0,2018-09-30,江宁区秣周东路12号悠谷1期3号楼协同大楼未来网络小镇一层大堂,34|50|232|40|29,2018-09-30|2018-09-29|2018-10-01|2018-09-25|2018-09-25,建邺区河西45号地块金融城8号楼101室一层东大堂|玄武区玄武大道699-8号徐庄软件园8幢一层101室|秦淮区健康路3号水平方负一层15A号|秦淮区洪武路50号金贸大厦一层A2-2号|玄武区中央路 284号金谷创客一层 107 号,5,773,1059,0.07632600258732213,0.3663833805476865,0.2083227751030261,kept,
44,2021-07-24,2021-08-05,13,set_up_time_matched,5,0.8,50,2.0,2018-08-23,玄武区湖景路9号苏宁青创园D栋一层大堂,33|32|28|45|26,2018-08-29|2018-08-29|2018-08-30|2018-08-30|2018-08-31,鼓楼区草场门大街105号江苏教育频道一层大堂|建邺区西城路300号3幢君泰国际大厦3幢一层大堂|秦淮区中山南路189号中住大厦一层大堂|鼓楼区江东北路289号银城广场A座一层大堂|秦淮区中山南路501号通服大厦一层大堂,5,367,1231,0.07356948228882834,0.2437043054427295,0.3018801089918256,kept,
39,2021-07-25,2021-08-19,26,set_up_time_matched,5,0.8,50,2.0,2018-11-08,秦淮区凤游寺52号悦动新门西体育文化产业园15号楼一层106号,71|69|76|70|78,2018-11-13|2018-11-19|2018-11-20|2018-11-20|2018-11-23,六合区葛关路818-2号美利广场一层124室|秦淮区太平南路389号凤凰和睿大厦一层102室|建邺区水西门大街272号金基广场一层101室|江宁区将军大道9号托乐嘉花园108幢一层114室|仙林街道纬地路9号江苏生命科技创新园A1区一层,5,253,2890,0.13043478260869565,0.2844290657439446,0.45858457632497623,kept,
246,2021-07-27,2021-08-08,13,set_up_time_matched,5,0.8,50,2.0,2020-03-18,溧水区经济开发区创业路89号,177|245|260|250|149,2020-03-17|2020-03-05|2020-01-24|2020-01-12|2020-01-07,雨花台区软件大道118号B3栋一层|江宁区麒麟街道悦民路128号天赋广场22幢116室|秦淮区中山南路18号南京国际贸易中心一层|南京市浦口区公园北路3-8号|浦口区惠达路6号北斗大厦写字楼大堂一层,5,76,481,0.039473684210526314,0.23492723492723494,0.16802515137401022,kept,
133,2021-07-28,2021-08-22,26,set_up_time_matched,5,0.8,50,2.0,2019-06-30,江宁区东吉大道1号13号楼一层,143|137|132|129|135,2019-06-30|2019-06-28|2019-06-27|2019-06-27|2019-06-26,建邺区白龙江东街9号新城基金大厦一层大堂|建邺区太清路益家生活广场一层|栖霞区仙林大道181号万达茂二层|秦淮区太平南路450号斯亚财富中心一层大堂|秦淮区中山南路2号东方福来德四层,5,228,2128,0.039473684210526314,0.33129699248120303,0.11914893617021274,kept,
68,2021-07-29,2021-08-23,26,set_up_time_matched,5,0.8,50,2.0,2018-10-25,鼓楼区虎踞路51号中国移动营业一层大堂,73|74|75|41|79,2018-11-27|2018-11-27|2018-11-27|2018-09-22|2018-11-28,鼓楼区南通路118号南京滨江世茂4幢一层01号|秦淮区光华路158号A幢必得科技研发中心一层|雨花台区安德门大街21号江苏科技金融大厦一层|建邺区应天大街888号金鹰世界6层F644室|江北新区星火路9号软件大厦B座一层104室,5,184,1679,0.1793478260869565,0.28469326980345444,0.6299686192468619,skipped,low_control_rate
64,2021-07-29,2021-08-22,25,set_up_time_matched,5,0.8,50,2.0,2018-10-23,鼓楼区行健路16号移动龙江阳光广场一层,55|43|38|233|31,2018-09-19|2018-09-17|2018-09-17|2018-11-30|2018-09-10,鼓楼区南昌路40号长江科技园一层大堂|鼓楼区湖南路1号凤凰广场一层10号|玄武区黄埔路2号黄埔大厦一层大堂|玄武区龙蟠路155号-9紫金联合立方广场5幢一层|雨花台区安德门大街50号怡化华东研发运营中心A座一层大堂,5,264,2279,0.17803030303030304,0.30759104870557263,0.5787889594950936,skipped,low_control_rate
