disp_binary,treated,rel_t,mean,se_cluster,ci_low,ci_high,observations,n_clusters,cluster
0,0,-4,0.5831207553604515,0.005466949558916796,0.5724036893258244,0.5938378213950786,6354,6354,member_id
0,0,-3,0.5872561088354099,0.0058740669897900475,0.575740650821919,0.5987715668489008,5580,5580,member_id
0,0,-2,0.6017504711073657,0.006678389418136018,0.58865739490961,0.6148435473051214,4315,4315,member_id
0,0,-1,0.5626984221596588,0.006994072280038244,0.548986365147294,0.5764104791720236,4227,4227,member_id
0,0,1,0.5212309036670987,0.006737231723239895,0.5080224620029349,0.5344393453312625,4310,4310,member_id
0,0,2,0.5547482046649926,0.0062959120544613684,0.5424053353179141,0.5670910740120712,4807,4807,member_id
0,0,3,0.534967590090541,0.006421148898234779,0.5223791665429168,0.5475560136381651,4758,4758,member_id
0,0,4,0.5210513973578107,0.006229314613126493,0.5088392386956277,0.5332635560199936,5052,5052,member_id
0,1,-4,0.5887647566781424,0.011661666110779421,0.5658884771267711,0.6116410362295137,1397,1397,member_id
0,1,-3,0.5777210401891254,0.012655170871301946,0.5528917631530648,0.602550317225186,1175,1175,member_id
0,1,-2,0.5886763877148493,0.013970367336881328,0.5612622162335793,0.6160905591961193,1014,1014,member_id
0,1,-1,0.5762155206660105,0.014790947641039727,0.5471875240305367,0.6052435173014842,919,919,member_id
0,1,1,0.5776131649912173,0.013464034161916131,0.5511927306639588,0.6040335993184758,1019,1019,member_id
0,1,2,0.5928888004906104,0.012929168622385242,0.5675202835240797,0.6182573174571412,1105,1105,member_id
0,1,3,0.5447583083772342,0.012698095726370989,0.5198447694709627,0.5696718472835056,1173,1173,member_id
0,1,4,0.5202694786174574,0.01285585084230506,0.49504562304891997,0.5454933341859949,1138,1138,member_id
1,0,-4,0.45934533882869794,0.005071418192049821,0.44940367884048377,0.4692869988169121,6460,6460,member_id
1,0,-3,0.43288953547727427,0.004922563748995589,0.423239758002121,0.44253931295242754,6753,6753,member_id
1,0,-2,0.42895302619161235,0.004706473361058435,0.41972701262179773,0.43817903976142697,7469,7469,member_id
1,0,-1,0.3647961944238357,0.005069722046055293,0.35485765492654725,0.37473473392112416,5821,5821,member_id
1,0,1,0.35369662016143005,0.005430529285348873,0.3430504462758214,0.36434279404703873,5090,5090,member_id
1,0,2,0.4376756760344546,0.005555235115824524,0.42678503470335805,0.4485663173655512,5109,5109,member_id
1,0,3,0.39367170559984327,0.005695821020899845,0.38250536509431116,0.4048380461053754,4940,4940,member_id
1,0,4,0.36877177917145143,0.005714457326071062,0.3575688909389204,0.37997466740398245,4918,4918,member_id
1,1,-4,0.501312565525032,0.01019917700344141,0.48130630546141856,0.5213188255886455,1492,1492,member_id
1,1,-3,0.4740709365141552,0.010061577880538674,0.45433509504366915,0.4938067779846413,1541,1541,member_id
1,1,-2,0.46607027938999934,0.009780016351114385,0.44688824617347944,0.48525231260651924,1714,1714,member_id
1,1,-1,0.4358084302160895,0.010554405765180368,0.4151042242742223,0.45651263615795673,1397,1397,member_id
1,1,1,0.43026237685328594,0.010902261300121684,0.40887311738599,0.45165163632058186,1221,1221,member_id
1,1,2,0.46868713173153814,0.011302460484319175,0.4465117762550577,0.49086248720801856,1171,1171,member_id
1,1,3,0.4070532099479468,0.011189016911485293,0.3851016089896629,0.4290048109062307,1235,1235,member_id
1,1,4,0.36896085552865215,0.011472192983853484,0.34645266389288065,0.39146904716442366,1180,1180,member_id
