spec,estimand,term,n,r2_within,coef,se,pvalue,ci_low,ci_high,group
binary_collapsed,low_predicted_incidence_effect_delta_b,post_X_treated,99644,0.0007559065043615254,0.008045907285570976,0.011326396663428575,0.4871077073316181,-0.0158507008356484,0.03194251540679035,binary
binary_collapsed,common_high_minus_low_post_shift,post_X_disp,99644,0.0007559065043615254,0.03004852754471236,0.004518888148425821,4.1019696144228845e-06,0.020514506934677823,0.0395825481547469,binary
binary_collapsed,high_minus_low_ddd,post_X_treated_X_disp,99644,0.0007559065043615254,-0.04171738398180386,0.008949985557295884,0.0002239308839928622,-0.060600202931968696,-0.02283456503163902,binary
binary_collapsed_group_effects,low_predicted_incidence_effect,post_X_treated_X_low,99644,0.0007559065043610813,0.008045907285458323,0.011326396891629108,0.4871077159859283,-0.01585070131722209,0.031942515888138734,binary
binary_collapsed_group_effects,high_predicted_incidence_effect,post_X_treated_X_high,99644,0.0007559065043610813,-0.033671476696233,0.014516860393473007,0.033074184992781364,-0.06429937489561187,-0.003043578496854129,binary
score_collapsed,,post_X_treated,99644,0.0007023291197866266,-0.003317897166953697,0.011979449032689417,0.7851459114866686,-0.028592325349980463,0.021956531016073068,score
score_collapsed,,post_X_score,99644,0.0007023291197866266,0.04684898333483893,0.009899422941735628,0.00019247624330898105,0.025963026600805926,0.06773494006887193,score
score_collapsed,,post_X_treated_X_score,99644,0.0007023291197866266,-0.048613857200676354,0.015594896699731494,0.006267837799234233,-0.08151621319246913,-0.015711501208883587,score
event_att,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",99644,0.00026206107031279124,0.015627733263167735,0.011268184458087511,0.1833930343040262,-0.008146057840403037,0.03940152436673851,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",99644,0.00026206107031279124,0.012117480338954947,0.017831704176670696,0.5059397620816781,-0.025504126912297885,0.04973908759020778,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",99644,0.00026206107031279124,-0.0005362508856426914,0.011389065018773549,0.9629944281037437,-0.024565077679206078,0.02349257590792069,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[1]:treated",99644,0.00026206107031279124,-0.004204998830666047,0.013701057494602794,0.7626389944197798,-0.033111703365567076,0.02470170570423498,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[2]:treated",99644,0.00026206107031279124,-0.015248199279803755,0.014875025263183019,0.3196882289136349,-0.0466317593007294,0.016135360741121894,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[3]:treated",99644,0.00026206107031279124,-0.018655136337737514,0.016377920536086037,0.2704824785587523,-0.0532095282172858,0.01589925554181077,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[4]:treated",99644,0.00026206107031279124,-0.007837923243232747,0.01835004221599816,0.6746426525005638,-0.04655312816444217,0.030877281677976678,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",99644,0.0012135948258292784,0.0005867619516912051,0.012828497545779822,0.964051324863979,-0.026479002010589794,0.027652525913972208,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",99644,0.0012135948258292784,-0.0017260988186180877,0.02071340230314786,0.9345605900942533,-0.04542755766772513,0.04197536003048896,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",99644,0.0012135948258292784,-0.004318362079804384,0.014258143944808028,0.7656637853831789,-0.034400416285548206,0.025763692125939437,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated",99644,0.0012135948258292784,0.00606451797712281,0.01419821536577114,0.6746436430220353,-0.023891097979011573,0.0360201339332572,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:treated",99644,0.0012135948258292784,0.005384218156227388,0.01743644518311181,0.7612326089454104,-0.03140346551313624,0.04217190182559102,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:treated",99644,0.0012135948258292784,0.00754106993733878,0.026451412315485104,0.779018221557239,-0.04826653182156015,0.0633486716962377,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:treated",99644,0.0012135948258292784,0.008159573504646234,0.019460349114461536,0.6802530376049409,-0.03289817420711687,0.04921732121640933,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",99644,0.0012135948258292784,0.025107161313601765,0.014171863241728278,0.09438086986014493,-0.004792856520717998,0.055007179147921526,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",99644,0.0012135948258292784,0.02137962666557964,0.012354244478787907,0.10164170017352792,-0.004685550788126658,0.047444804119285935,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",99644,0.0012135948258292784,0.004762924977417941,0.011771261579703679,0.6908000850540872,-0.0200722660741901,0.02959811602902598,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",99644,0.0012135948258292784,-0.015530182582494452,0.01977132714278318,0.4429768844273796,-0.0572440365827744,0.0261836714177855,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",99644,0.0012135948258292784,-0.03355380915605177,0.01709751771876643,0.06628516169477905,-0.06962641838138403,0.0025188000692804788,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",99644,0.0012135948258292784,-0.04384290057041642,0.02506153164143742,0.09824911274566217,-0.09671811043188025,0.009032309291047418,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",99644,0.0012135948258292784,-0.026395121000146394,0.013103355839203048,0.06007138177246918,-0.05404078527158836,0.0012505432712955726,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",99644,0.0012135948258292784,0.021520650497553213,0.012302726762805746,0.0982759957226973,-0.004435834076439531,0.04747713507154595,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",99644,0.0012135948258292784,0.019225874462959838,0.013192883457375685,0.1632605539823666,-0.00860867657194906,0.047060425497868735,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",99644,0.0012135948258292784,0.01838832541789115,0.009501276968449927,0.0697607807657552,-0.0016576167394521286,0.038434267575234424,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",99644,0.0012135948258292784,0.03740981704610888,0.013622048810185385,0.013775285040504848,0.008669806264375805,0.06614982782784196,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",99644,0.0012135948258292784,0.057647956391694316,0.012041587743666909,0.00017136062732614477,0.03224242698826077,0.08305348579512786,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",99644,0.0012135948258292784,0.053391488333471786,0.014036125786503763,0.0014188990004191382,0.023777851496680137,0.08300512517026343,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",99644,0.0012135948258292784,0.033414626068227496,0.01231785312034333,0.014777844614400903,0.007426227669466084,0.059403024466988905,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",99644,0.003150946350140682,8.746518195231766e-07,0.012595274114912739,0.9999454010078677,-0.026572830882902406,0.026574580186541453,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",99644,0.003150946350140682,-0.005789513236524008,0.017922576625428246,0.7506126092168734,-0.04360284459576137,0.03202381812271335,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",99644,0.003150946350140682,-0.0034428126405726704,0.01458343994098182,0.8161938478310007,-0.03421118140645072,0.02732555612530538,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:treated",99644,0.003150946350140682,0.004561825993610932,0.012519676879062875,0.7200726176536334,-0.021852383315273824,0.030976035302495687,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:treated",99644,0.003150946350140682,0.006698998915721766,0.01733853502344348,0.7040196065507369,-0.02988211237354548,0.043280110204989015,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:treated",99644,0.003150946350140682,0.003245111177643255,0.027668829519272093,0.9080095189597059,-0.055131016362527575,0.06162123871781409,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:treated",99644,0.003150946350140682,0.010511697731542861,0.0174107447625785,0.5539830048480594,-0.026221762790222723,0.047245158253308446,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",99644,0.003150946350140682,0.022263980790601365,0.011986158326814959,0.08065350338879207,-0.003024602765687733,0.047552564346890466,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",99644,0.003150946350140682,0.019187886110610265,0.014697274602838121,0.20910190881095048,-0.011820652798149582,0.05019642501937011,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",99644,0.003150946350140682,0.009637589991528004,0.016174087554967607,0.5591153911961979,-0.024486751889180442,0.043761931872236454,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",99644,0.003150946350140682,0.011598969982797556,0.013978719819304826,0.41817498729417046,-0.017893550850137194,0.04109149081573231,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",99644,0.003150946350140682,-0.030340386618532514,0.01725066089600686,0.09659796760508055,-0.06673609970484548,0.00605532646778046,event_study
