spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within
event_att,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.01258993092035285,0.008616714734786863,0.16222365246771964,-0.005589748056845178,0.030769609897550877,43655,0.00041383169405773135
event_att,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.012735403894217756,0.025711970067676542,0.626722404708913,-0.0669829188797822,0.041512111091346685,43655,0.00041383169405773135
event_att,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.001585500674694996,0.014743269620839545,0.9156190851098289,-0.032691080588936966,0.029520079239546974,43655,0.00041383169405773135
event_att,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.0015056516150897348,0.01663533330529627,0.9289404167247746,-0.03359183373487148,0.03660313696505094,43655,0.00041383169405773135
event_att,,"C(rel_t, contr.treatment(base=-1))[2]:treated",-0.03330474370879317,0.020525077471811135,0.1230641876368248,-0.0766088718950532,0.00999938447746685,43655,0.00041383169405773135
event_att,,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.02666278718830554,0.01620586330740937,0.11827912229134041,-0.06085417004651299,0.007528595669901907,43655,0.00041383169405773135
event_att,,"C(rel_t, contr.treatment(base=-1))[4]:treated",-0.019017256364376376,0.021629357633881508,0.39153368827492807,-0.06465121203886462,0.026616699310111864,43655,0.00041383169405773135
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.025783216219154352,0.018324001224687126,0.17742550151691727,-0.012877047012924837,0.06444347945123355,43655,0.0011938482684911156
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.003639599641569068,0.02189430809890964,0.8699331244934536,-0.049832551934527805,0.04255335265138967,43655,0.0011938482684911156
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",0.006502749632698176,0.016232010912872512,0.6936951411811245,-0.027743799850838444,0.040749299116234795,43655,0.0011938482684911156
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.02993956030239935,0.018403027201729417,0.12215364129318851,-0.008887433167097152,0.06876655377189585,43655,0.0011938482684911156
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:treated",-0.008361840462456482,0.0348591179305958,0.8132954349304289,-0.08190815050195147,0.0651844695770385,43655,0.0011938482684911156
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.015891660686189732,0.025976791145878576,0.5487890000287907,-0.0706978993078834,0.03891457793550394,43655,0.0011938482684911156
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.003120314843405623,0.025294953604552042,0.9032709536701284,-0.05024737231204585,0.0564880019988571,43655,0.0011938482684911156
