spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,rel_t,path
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-4]:blocked_treated_gap",0.028491462566384285,0.02090342358425335,0.19066336484828295,-0.012479247658752284,0.06946217279152085,43655,0.0010012420417481183,-4,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-3]:blocked_treated_gap",0.024719999085603822,0.03042297634290458,0.427712483157209,-0.03490903454648916,0.08434903271769681,43655,0.0010012420417481183,-3,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-2]:blocked_treated_gap",0.018555163728761558,0.022756109416233402,0.4261246973658803,-0.026046810727055912,0.06315713818457902,43655,0.0010012420417481183,-2,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[1]:blocked_treated_gap",0.008779289537492933,0.023497997523411803,0.7133065772523874,-0.037276785608394196,0.054835364683380065,43655,0.0010012420417481183,1,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[2]:blocked_treated_gap",-0.012281096385845493,0.02153951421248284,0.5760238830523159,-0.054498544242311854,0.02993635147062087,43655,0.0010012420417481183,2,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[3]:blocked_treated_gap",0.017150313150209758,0.019819847832143897,0.3989156122788531,-0.021696588600792276,0.05599721490121179,43655,0.0010012420417481183,3,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[4]:blocked_treated_gap",0.019903640104283467,0.02086664216416726,0.35352700008068405,-0.020994978537484364,0.0608022587460513,43655,0.0010012420417481183,4,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-4]:blocked_control_gap",0.02828208875770101,0.014727986440385577,0.07175837409809449,-0.0005847646654547206,0.05714894218085674,43655,0.0010012420417481183,-4,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-3]:blocked_control_gap",0.04595946756920089,0.015913099470267388,0.010215766327686726,0.014769792607476812,0.07714914253092497,43655,0.0010012420417481183,-3,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-2]:blocked_control_gap",0.02805915493049454,0.0069345490109078015,0.0008387642753870939,0.014467438869115248,0.041650870991873826,43655,0.0010012420417481183,-2,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[1]:blocked_control_gap",0.02961608903953859,0.01616030063555659,0.08443014094641876,-0.002058100206152321,0.061290278285229496,43655,0.0010012420417481183,1,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[2]:blocked_control_gap",0.04134062275253191,0.0105625191128676,0.0011174913416300836,0.020638085291311416,0.062043160213752405,43655,0.0010012420417481183,2,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[3]:blocked_control_gap",0.053484927737944006,0.014045350418396737,0.0014061594700722768,0.025956040917886402,0.0810138145580016,43655,0.0010012420417481183,3,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[4]:blocked_control_gap",0.056350569491838025,0.013600227343614562,0.0006799087233797518,0.029694123898353485,0.08300701508532257,43655,0.0010012420417481183,4,control_blocked_minus_nonblocked
