spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,rel_t,path
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-4]:blocked_treated_gap",-0.006488539723117387,0.003993045638342945,0.10419601283973878,-0.01431490917426956,0.0013378297280347857,101072,0.0028884761641324586,-4,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-3]:blocked_treated_gap",0.0020106351754385064,0.003924047395885678,0.608388378071679,-0.0056804977204974235,0.009701768071374435,101072,0.0028884761641324586,-3,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-2]:blocked_treated_gap",0.01798893277076718,0.003420446878476312,1.47018138552113e-07,0.011284856888953608,0.02469300865258075,101072,0.0028884761641324586,-2,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[1]:blocked_treated_gap",0.007723381900353485,0.003212856243924661,0.016235565395790408,0.0014261836622611497,0.01402058013844582,101072,0.0028884761641324586,1,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[2]:blocked_treated_gap",-0.002645990459020481,0.0034659298990756494,0.44522200806895973,-0.009439213061208753,0.0041472321431677926,101072,0.0028884761641324586,2,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[3]:blocked_treated_gap",0.007623272448693057,0.003868925340483927,0.048816066674464365,4.017878134456032e-05,0.015206366116041554,101072,0.0028884761641324586,3,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[4]:blocked_treated_gap",0.00013900920863823087,0.003938752026866204,0.9718468988317759,-0.007580944764019529,0.00785896318129599,101072,0.0028884761641324586,4,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-4]:blocked_control_gap",2.5740786868688593e-07,0.002498449630889705,0.9999177979427716,-0.004896703868675135,0.0048972186844125085,101072,0.0028884761641324586,-4,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-3]:blocked_control_gap",0.005194771462216511,0.00237850607428682,0.028977045292922332,0.0005328995566143439,0.009856643367818677,101072,0.0028884761641324586,-3,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-2]:blocked_control_gap",0.02768312857333409,0.002083887538565104,0.0,0.023598708997746486,0.031767548148921694,101072,0.0028884761641324586,-2,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[1]:blocked_control_gap",0.004927945820943046,0.0020058107629396535,0.014030058846124849,0.000996556725581325,0.008859334916304766,101072,0.0028884761641324586,1,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[2]:blocked_control_gap",0.00705554335747329,0.002195461888244412,0.0013136809390768,0.0027524380565142424,0.011358648658432337,101072,0.0028884761641324586,2,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[3]:blocked_control_gap",0.0034114222025015024,0.0021812563398838866,0.1178493682996542,-0.0008638402236709154,0.00768668462867392,101072,0.0028884761641324586,3,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[4]:blocked_control_gap",0.004983707580337434,0.002252656779017148,0.026959011467857286,0.000568500293463824,0.009398914867211044,101072,0.0028884761641324586,4,control_blocked_minus_nonblocked
