group,rel_t,mean,std
control,-4,0.5193264835202125,0.4167409362833036
control,-3,0.5531677242944849,0.40917187139902234
control,-2,0.5490362299860698,0.40204165323359564
control,-1,0.4868940500535593,0.42117396220479814
control,0,0.14226430491551462,0.31090098051868403
control,1,0.47853435145101814,0.4239021355678326
control,2,0.5279927365198683,0.40891616746030246
control,3,0.46291823308270674,0.42410690678420754
control,4,0.4115762604398968,0.4086835922580903
treatment,-4,0.6286919831223629,0.39307517883600457
treatment,-3,0.6423809523809524,0.3881049971887506
treatment,-2,0.6428596307906653,0.4151537597125309
treatment,-1,0.6334898278560251,0.4113137336696631
treatment,0,0.019841269841269844,0.13145800877345495
treatment,1,0.6053184910327767,0.37884105089901077
treatment,2,0.593939393939394,0.41177784612700397
treatment,3,0.6298538521099497,0.3891521417718233
treatment,4,0.5613095238095238,0.42354787557377055
