group,rel_t,mean,std
control,-4,0.9068614013736651,0.23465566723235867
control,-3,0.8222540115631821,0.31811271154363285
control,-2,0.7616508606898118,0.36172823283150185
control,-1,0.7395535756459206,0.37836610605801174
control,0,0.19380935270978294,0.378359223020685
control,1,0.6917820051940828,0.3947715452354673
control,2,0.6105662936353234,0.41388935029457313
control,3,0.5802209356602015,0.4213126539063208
control,4,0.5579347113149993,0.42500048442657135
treatment,-4,0.8661550954333925,0.27732094833775367
treatment,-3,0.7872689122228888,0.33554555603208275
treatment,-2,0.6983990380343019,0.3902280350180259
treatment,-1,0.6476209725076306,0.40912533369367454
treatment,0,0.046170285886118094,0.200981623692079
treatment,1,0.621408017643246,0.40165527320311284
treatment,2,0.5639351860792986,0.41687245499721787
treatment,3,0.553945410901391,0.41540605638140315
treatment,4,0.5346448429817714,0.4175290444773731
