spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,6372,0.0029259610997236507,0.0026170641369169167,0.0032544532490881594,0.4213711547518746,binary
binary_collapsed,post_X_disp,6372,0.0029259610997236507,-0.005333150919080733,0.0042947818455824505,0.21441117914575147,binary
binary_collapsed,post_X_treated_X_disp,6372,0.0029259610997236507,-0.019102395111411884,0.011112428072721527,0.08570938929345484,binary
score_collapsed,post_X_treated,6372,0.005459197038284236,-0.0033195313741789007,0.003931644757602378,0.39855898761064523,score
score_collapsed,post_X_score,6372,0.005459197038284236,-0.015257616519218321,0.006504651677105523,0.01905511951030081,score
score_collapsed,post_X_treated_X_score,6372,0.005459197038284236,-0.020052216902091618,0.017923849421682302,0.26333330956495393,score
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",6372,5.854443034181145e-05,-0.0019290022890086013,0.003792649869940704,0.6110566610567765,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",6372,0.0029259610997236507,0.0026170641369168374,0.0032544532490881737,0.4213711547518906,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",6372,0.0029259610997236507,-0.019102395111411586,0.011112428072721546,0.08570938929346017,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",6372,0.0029259610997236507,-0.0053331509190807525,0.004294781845582452,0.21441117914574992,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated",6372,0.005459197038284236,-0.0033195313741788976,0.003931644757602378,0.3985589876106457,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_score",6372,0.005459197038284236,-0.020052216902091403,0.01792384942168231,0.26333330956495904,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:displacement_prob_centered",6372,0.005459197038284236,-0.01525761651921835,0.006504651677105523,0.01905511951030059,event_study
