statistic,value
eligible_episodes,18525.0
mean,0.5083409538321808
sd,0.26876288777516205
minimum,0.0
p10,0.16666666666666666
p25,0.3
median,0.5
p75,0.7013888888888888
p90,0.8888888888888888
maximum,1.0
share_at_zero,0.033252361673414305
share_at_one,0.06823211875843455
mean_baseline_orders,14.204858299595141
median_baseline_orders,9.0
