specification,term,label,estimate,se,tvalue,pvalue_two_sided,ci_low,ci_high,pvalue_one_sided_positive,n,reference_df,cluster,n_clusters,estimate_percentage_points,se_percentage_points,r2,within_r2
with_baseline_order_adjustment,post_X_treated_X_incidence,DDD at mean baseline novelty and order history,-0.013049865958771483,0.020003746015514943,-0.6523711083239101,0.522885899081122,-0.055254080917326046,0.029154348999783076,0.738557050459439,79578,17.0,closure_event_id,18,-1.3049865958771483,2.0003746015514943,0.4107000160946228,0.03886795392486675
with_baseline_order_adjustment,post_X_treated_X_incidence_X_baseline_novelty,Change in DDD per SD of baseline novelty,0.02939350986366981,0.014742858982816942,1.993745575259755,0.062476748422152895,-0.0017112036800772147,0.06049822340741684,0.031238374211076447,79578,17.0,closure_event_id,18,2.939350986366981,1.4742858982816942,0.4107000160946228,0.03886795392486675
without_baseline_order_adjustment,post_X_treated_X_incidence,DDD at mean baseline novelty,-0.030517858984707092,0.02014004989462333,-1.5152821936580338,0.14807332604023427,-0.07300964999072364,0.011973932021309457,0.9259633369798829,79578,17.0,closure_event_id,18,-3.051785898470709,2.014004989462333,0.41019722119428015,0.03804790928797408
without_baseline_order_adjustment,post_X_treated_X_incidence_X_baseline_novelty,Change in DDD per SD of baseline novelty,0.02292693602935096,0.014298962368203268,1.6033985850843133,0.1272627536720754,-0.007241237521936665,0.05309510958063859,0.0636313768360377,79578,17.0,closure_event_id,18,2.292693602935096,1.4298962368203267,0.41019722119428015,0.03804790928797408
