treated,high_predicted_incidence,episodes,closures,mean_baseline_novelty,sd_baseline_novelty,mean_baseline_orders
0,0,6590,18,0.5604456025068165,0.2739721681597968,9.055386949924127
0,1,7951,18,0.4533916190805608,0.2533837373622605,18.470884165513773
1,0,1489,18,0.5736969376875714,0.26061608935580016,8.79852249832102
1,1,1836,18,0.48966526254339454,0.25038876028507634,20.863289760348582
