rel_t,term,estimate,se,pvalue_two_sided,pvalue_one_sided_positive,ci_low,ci_high,n
-4,rel_m4_X_treated_X_incidence_X_baseline_novelty,-0.005790584512459738,0.024596987478478455,0.8166965341260355,0.5916517329369823,-0.05768569186232461,0.04610452283740514,79578
-3,rel_m3_X_treated_X_incidence_X_baseline_novelty,-0.009146700061161772,0.03366116144527379,0.7891030893688771,0.6054484553155615,-0.08016554284636265,0.061872142724039104,79578
-2,rel_m2_X_treated_X_incidence_X_baseline_novelty,0.017546877988854855,0.025370617517544946,0.4985122424799373,0.24925612123996865,-0.0359804460689123,0.07107420204662201,79578
1,rel_p1_X_treated_X_incidence_X_baseline_novelty,0.0595981168798678,0.030698426355019508,0.06897184267425938,0.03448592133712969,-0.005169901258921188,0.12436613501865679,79578
2,rel_p2_X_treated_X_incidence_X_baseline_novelty,-0.00021334631106932042,0.030774590626215684,0.9945493761009256,0.5027253119495372,-0.06514205701570233,0.06471536439356368,79578
3,rel_p3_X_treated_X_incidence_X_baseline_novelty,0.04349767554151137,0.04368507605460904,0.3333535146042119,0.16667675730210596,-0.04866977843733599,0.13566512952035872,79578
4,rel_p4_X_treated_X_incidence_X_baseline_novelty,0.014860684341648174,0.03356116648742754,0.6634973336106382,0.3317486668053191,-0.055947187523783894,0.08566855620708025,79578
