baseline_order_group,episodes,minimum_orders,maximum_orders,mean_orders,mean_baseline_novelty,sd_baseline_novelty,share_novelty_zero,share_novelty_one
20+,3461,20,909,36.20023114706732,0.365156871790488,0.20013581787908724,0.020803236058942503,0.0011557353366079169
6--9,6608,6,9,7.24455205811138,0.5663923106464074,0.2741797951753765,0.03737893462469734,0.09473365617433414
5,2751,5,5,5.0,0.6203230807320229,0.29050407609844214,0.04689203925845147,0.1926572155579789
10--19,5705,10,19,13.361787905346187,0.47396652982103693,0.24281966434666744,0.029447852760736196,0.018229623137598596
