bin_left,bin_right,bin_midpoint,episodes,share
0.0,0.1,0.05,1011,0.054574898785425104
0.1,0.2,0.15000000000000002,1457,0.07865047233468286
0.2,0.30000000000000004,0.25,2278,0.12296896086369771
0.30000000000000004,0.4,0.35000000000000003,2039,0.11006747638326586
0.4,0.5,0.45,1833,0.09894736842105263
0.5,0.6000000000000001,0.55,3187,0.1720377867746289
0.6000000000000001,0.7000000000000001,0.6500000000000001,2081,0.11233468286099865
0.7000000000000001,0.8,0.75,1419,0.07659919028340081
0.8,0.9,0.8500000000000001,1424,0.07686909581646424
0.9,1.0,0.95,1796,0.09695006747638327
