group,rel_t,mean,std
control,-4,0.5415144343328473,0.399559985925188
control,-3,0.5137101088631701,0.4109764380349495
control,-2,0.5792564316525978,0.4003639644921977
control,-1,0.5211621873146902,0.4107940981923629
control,0,0.15552209703452433,0.3220723476632273
control,1,0.45849832696823734,0.4085297559905045
control,2,0.5817188940092166,0.39667042762153226
control,3,0.45200955771716783,0.4080413106926524
control,4,0.41708307128475197,0.4111719441212867
treatment,-4,0.596011483105639,0.38032129814300786
treatment,-3,0.56663210738841,0.3942496656955324
treatment,-2,0.6115952841484756,0.37179178571119226
treatment,-1,0.5446306622327031,0.3986590005853703
treatment,0,0.04124446290143964,0.17600925991245653
treatment,1,0.5668815229549693,0.3859106880444412
treatment,2,0.5697623977127083,0.37205333980989286
treatment,3,0.4650988455988456,0.3919003520335401
treatment,4,0.42863283288815207,0.4021350128513163
