group,rel_t,mean,std
control,-4,0.6022971255509586,0.41501906668467375
control,-3,0.5547643316636249,0.42436209049452656
control,-2,0.5218829077524729,0.43029589395679824
control,-1,0.45144584647739217,0.4315677928254701
control,0,0.09383630734982085,0.2649966812692407
control,1,0.42173040703884856,0.4214177915500994
control,2,0.5404978354978355,0.40988080882403743
control,3,0.5175132275132275,0.4294292988218375
control,4,0.4882097301362335,0.42405451672036554
treatment,-4,0.5592532467532467,0.4240435311198499
treatment,-3,0.5802844570171303,0.4134603274033966
treatment,-2,0.504978354978355,0.40686780450662585
treatment,-1,0.46775956284153003,0.402214573888981
treatment,0,0.047390109890109895,0.20580421720195327
treatment,1,0.5025362318840579,0.3989039936316328
treatment,2,0.5846428571428571,0.3705102558181576
treatment,3,0.5409027777777777,0.4209593629317219
treatment,4,0.4227053140096618,0.43987307860541264
