term,coef,se_crv1,pvalue_crv1,ci_low,ci_high,n,n_clusters,event_store_pairs,within_r2,outcome,estimand,cluster
disp_binary,-2.87235420279345,0.3266180208665862,2.6921675437632966e-18,-3.5128366302959497,-2.2318717752909505,2402,2402,18,0.03182808482627564,days_after_reopening,high_minus_low_among_treated_first_returners,member_id
disp_binary,0.006741859587915129,0.0020286442824129407,0.0009028391158167392,0.002763784492451745,0.010719934683378514,2402,2402,18,0.004411399364659396,core_coverage,high_minus_low_among_treated_first_returners,member_id
disp_binary,0.17658519315221316,0.058106533806915044,0.0023994474587624233,0.06264075122956303,0.2905296350748633,2390,2390,18,0.00388502156085202,rarefied_products_50,high_minus_low_among_treated_first_returners,member_id
disp_binary,0.010348900497974132,0.0021550281264676096,1.665807717545472e-06,0.006122992686414853,0.014574808309533411,2402,2402,18,0.00917155856030738,menu_jaccard_pre,high_minus_low_among_treated_first_returners,member_id
