2026-03-26 16:04:43 | INFO | displacement_effect_estimation | Closure 13/22 done: dept_id=39 closure_start=2021-07-25 members=2891 rows=5782 duration_days=26 elapsed=0.03s
2026-03-26 16:04:43 | INFO | displacement_effect_estimation | Closure 14/22 done: dept_id=182 closure_start=2021-08-03 members=1577 rows=3154 duration_days=18 elapsed=0.02s
2026-03-26 16:04:43 | INFO | displacement_effect_estimation | Closure 15/22 done: dept_id=181 closure_start=2021-02-11 members=441 rows=882 duration_days=15 elapsed=0.02s
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Closure 16/22 done: dept_id=44 closure_start=2021-07-24 members=1563 rows=3126 duration_days=13 elapsed=0.02s
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Closure 17/22 done: dept_id=8 closure_start=2021-05-27 members=674 rows=1348 duration_days=15 elapsed=0.02s
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Closure 18/22 done: dept_id=254 closure_start=2021-01-30 members=906 rows=1812 duration_days=23 elapsed=0.02s
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Closure 19/22 done: dept_id=131 closure_start=2021-08-29 members=2713 rows=5426 duration_days=11 elapsed=0.02s
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Closure 20/22 done: dept_id=238 closure_start=2021-07-24 members=1689 rows=3378 duration_days=29 elapsed=0.02s
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Closure 21/22 done: dept_id=246 closure_start=2021-07-27 members=540 rows=1080 duration_days=13 elapsed=0.02s
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Closure 22/22 done: dept_id=228 closure_start=2021-02-04 members=886 rows=1772 duration_days=17 elapsed=0.02s
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Closure loop completed in 0.43s
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Built estimation sample: 89,716 rows
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Running separate estimation for 22 closure events
2026-03-26 16:04:44 | INFO | displacement_effect_estimation | Fitting event 1/22: closure_event_id=dept_225_closure_2021-02-09 rows=4,954 members=2,477
2026-03-26 16:05:04 | INFO | displacement_effect_estimation | Fitting event 2/22: closure_event_id=dept_46_closure_2021-08-04 rows=5,440 members=2,720
2026-03-26 16:05:05 | INFO | displacement_effect_estimation | Fitting event 3/22: closure_event_id=dept_59_closure_2021-08-03 rows=6,372 members=3,186
2026-03-26 16:05:07 | INFO | displacement_effect_estimation | Fitting event 4/22: closure_event_id=dept_124_closure_2021-07-22 rows=6,190 members=3,095
2026-03-26 16:05:08 | INFO | displacement_effect_estimation | Fitting event 5/22: closure_event_id=dept_133_closure_2021-07-28 rows=4,388 members=2,194
2026-03-26 16:05:10 | INFO | displacement_effect_estimation | Fitting event 6/22: closure_event_id=dept_121_closure_2021-08-03 rows=4,436 members=2,218
2026-03-26 16:05:11 | INFO | displacement_effect_estimation | Fitting event 7/22: closure_event_id=dept_62_closure_2021-08-04 rows=5,288 members=2,644
2026-03-26 16:05:12 | INFO | displacement_effect_estimation | Fitting event 8/22: closure_event_id=dept_47_closure_2021-07-30 rows=6,768 members=3,384
2026-03-26 16:05:14 | INFO | displacement_effect_estimation | Fitting event 9/22: closure_event_id=dept_220_closure_2021-08-03 rows=3,668 members=1,834
2026-03-26 16:05:15 | INFO | displacement_effect_estimation | Fitting event 10/22: closure_event_id=dept_5_closure_2021-08-18 rows=4,878 members=2,439
2026-03-26 16:05:17 | INFO | displacement_effect_estimation | Fitting event 11/22: closure_event_id=dept_19_closure_2021-07-15 rows=6,602 members=3,301
2026-03-26 16:05:18 | INFO | displacement_effect_estimation | Fitting event 12/22: closure_event_id=dept_3_closure_2021-08-09 rows=2,972 members=1,486
2026-03-26 16:05:19 | INFO | displacement_effect_estimation | Fitting event 13/22: closure_event_id=dept_39_closure_2021-07-25 rows=5,782 members=2,891
2026-03-26 16:05:20 | INFO | displacement_effect_estimation | Fitting event 14/22: closure_event_id=dept_182_closure_2021-08-03 rows=3,154 members=1,577
2026-03-26 16:05:22 | INFO | displacement_effect_estimation | Fitting event 15/22: closure_event_id=dept_181_closure_2021-02-11 rows=882 members=441
2026-03-26 16:05:23 | INFO | displacement_effect_estimation | Fitting event 16/22: closure_event_id=dept_44_closure_2021-07-24 rows=3,126 members=1,563
2026-03-26 16:05:24 | INFO | displacement_effect_estimation | Fitting event 17/22: closure_event_id=dept_8_closure_2021-05-27 rows=1,348 members=674
2026-03-26 16:05:25 | INFO | displacement_effect_estimation | Fitting event 18/22: closure_event_id=dept_254_closure_2021-01-30 rows=1,812 members=906
2026-03-26 16:05:26 | INFO | displacement_effect_estimation | Fitting event 19/22: closure_event_id=dept_131_closure_2021-08-29 rows=5,426 members=2,713
2026-03-26 16:05:27 | INFO | displacement_effect_estimation | Fitting event 20/22: closure_event_id=dept_238_closure_2021-07-24 rows=3,378 members=1,689
2026-03-26 16:05:29 | INFO | displacement_effect_estimation | Fitting event 21/22: closure_event_id=dept_246_closure_2021-07-27 rows=1,080 members=540
2026-03-26 16:05:30 | INFO | displacement_effect_estimation | Fitting event 22/22: closure_event_id=dept_228_closure_2021-02-04 rows=1,772 members=886
2026-03-26 16:05:31 | INFO | displacement_effect_estimation | Saved separate-event outputs to: /home/litao/Coffee/model-free/outputs/displacement_effect_estimation_t-horizon_1/separate_effect/separate_effect
2026-03-26 16:05:31 | INFO | displacement_effect_estimation | Rows in estimation sample: 89,716
