spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within
event_att,,rel_t::-4:treated,0.00021769517316557173,0.0012633680953958704,0.8631920678469593,-0.0022585354471884546,0.002693925793519598,321184,0.00018030185889539307
event_att,,rel_t::-3:treated,-6.397193159916996e-05,0.001206367523094698,0.9577094166223121,-0.0024284801149023864,0.0023005362517040462,321184,0.00018030185889539307
event_att,,rel_t::-2:treated,-0.0006375186422764644,0.00106307791231432,0.5487153297800815,-0.002721175881910882,0.0014461385973579535,321184,0.00018030185889539307
event_att,,rel_t::1:treated,0.002621603059514001,0.0010696957090146893,0.014258413021022598,0.0005249747856351278,0.004718231333392874,321184,0.00018030185889539307
event_att,,rel_t::2:treated,0.0002056625137968137,0.001148449678713756,0.8578770575420216,-0.002045325358012349,0.0024566503856059767,321184,0.00018030185889539307
event_att,,rel_t::3:treated,0.0065680563643457845,0.0012171558714495988,6.84392484906482e-08,0.004182402769315925,0.008953709959375644,321184,0.00018030185889539307
event_att,,rel_t::4:treated,0.0017991914461736168,0.0011987907159461517,0.1334051620264043,-0.0005504660202766711,0.0041488489126239045,321184,0.00018030185889539307
event_binary_B,,rel_t::-4:treated,-0.001304979598501756,0.0010522640018063127,0.2149221066937026,-0.0033674413239995716,0.0007574821269960598,321184,0.015869415260420516
event_binary_B,,rel_t::-3:treated,0.00018335401136763,0.0010040036904227201,0.8550948793800341,-0.0017845163901673731,0.0021512244129026333,321184,0.015869415260420516
event_binary_B,,rel_t::-2:treated,0.001630300956313902,0.0008473762285919059,0.054369175510929235,-3.057600571029556e-05,0.0032911779183380997,321184,0.015869415260420516
event_binary_B,,rel_t::1:treated,0.0005012840786448164,0.0008553488889054763,0.5578398185330098,-0.001175219481570432,0.002177787638860065,321184,0.015869415260420516
event_binary_B,,rel_t::2:treated,0.00044755121316976106,0.0009411806756934859,0.6344182279132036,-0.0013971846297972292,0.002292287056136751,321184,0.015869415260420516
event_binary_B,,rel_t::3:treated,0.0031642074208689296,0.0009894878480995375,0.0013857639812393518,0.0012247884052537462,0.005103626436484113,321184,0.015869415260420516
event_binary_B,,rel_t::4:treated,0.00012099060144168663,0.0009613846987438417,0.8998510147144805,-0.001763345592930373,0.002005326795813746,321184,0.015869415260420516
event_binary_B,,rel_t::-4:treated_X_disp,0.005007328888740537,0.003813436065607472,0.18916506477549944,-0.0024670937983866884,0.012481751575867762,321184,0.015869415260420516
event_binary_B,,rel_t::-3:treated_X_disp,-0.0017866890772336016,0.003624377412708858,0.6220404301376945,-0.008890552441977641,0.005317174287510437,321184,0.015869415260420516
event_binary_B,,rel_t::-2:treated_X_disp,-0.007775420916127647,0.003228935626224276,0.016042701592141162,-0.014104209254179809,-0.0014466325780754857,321184,0.015869415260420516
event_binary_B,,rel_t::1:treated_X_disp,0.006464977423463654,0.003252318886773467,0.046839984564523984,9.03573551448841e-05,0.012839597491782425,321184,0.015869415260420516
event_binary_B,,rel_t::2:treated_X_disp,-0.002234282178333165,0.0034592730569356685,0.5183594733641361,-0.009014537195827236,0.004545972839160906,321184,0.015869415260420516
event_binary_B,,rel_t::3:treated_X_disp,0.010862731712256065,0.003683374467864288,0.003188587268010412,0.0036432327579961985,0.01808223066651593,321184,0.015869415260420516
event_binary_B,,rel_t::4:treated_X_disp,0.003914582912873592,0.0036383511872051977,0.2819685058232455,-0.003216669372340942,0.011045835198088126,321184,0.015869415260420516
event_binary_B,,rel_t::-4:disp_binary,-0.005293453022474108,0.0018149753177577335,0.0035413018027978804,-0.00885084652750022,-0.0017360595174479966,321184,0.015869415260420516
event_binary_B,,rel_t::-3:disp_binary,0.004497301381218093,0.0017287087292210098,0.00928408458818053,0.0011089923804046527,0.007885610382031533,321184,0.015869415260420516
event_binary_B,,rel_t::-2:disp_binary,0.023183282529571976,0.0015589689501508193,0.0,0.02012766741263727,0.026238897646506682,321184,0.015869415260420516
event_binary_B,,rel_t::1:disp_binary,-0.026096062969508654,0.0015298671501564895,0.0,-0.02909463788690373,-0.023097488052113577,321184,0.015869415260420516
