spec,term,coef,se,pvalue,n,r2_within
event_blocked_gap,rel_t::-4:blocked_treated_gap,-0.0411893622924612,0.02733048349618522,0.1318198557010528,43655,0.000878816468900645
event_blocked_gap,rel_t::-3:blocked_treated_gap,-0.007521863351033194,0.026291499323421286,0.7748112667158074,43655,0.000878816468900645
event_blocked_gap,rel_t::-2:blocked_treated_gap,-0.017625249237366736,0.02495340378352476,0.48000128926396046,43655,0.000878816468900645
event_blocked_gap,rel_t::1:blocked_treated_gap,0.03344844353906193,0.026722608882262012,0.21071127897507225,43655,0.000878816468900645
event_blocked_gap,rel_t::2:blocked_treated_gap,-0.03645502563287487,0.027697203586353813,0.18813692935116433,43655,0.000878816468900645
event_blocked_gap,rel_t::3:blocked_treated_gap,-0.023906605160835336,0.026999849076304462,0.37594307331738186,43655,0.000878816468900645
event_blocked_gap,rel_t::4:blocked_treated_gap,0.012108934697202688,0.02809865396961189,0.6665185032109209,43655,0.000878816468900645
event_blocked_gap,rel_t::-4:blocked_control_gap,-0.04196031253095837,0.01611670441719204,0.009240311309615556,43655,0.000878816468900645
event_blocked_gap,rel_t::-3:blocked_control_gap,-0.01777234080213693,0.015988766412865136,0.266357158025893,43655,0.000878816468900645
event_blocked_gap,rel_t::-2:blocked_control_gap,-0.00833007156002603,0.015712077401146118,0.5960056403666787,43655,0.000878816468900645
event_blocked_gap,rel_t::1:blocked_control_gap,-0.0028360146619872055,0.01728867871981858,0.8697038268542192,43655,0.000878816468900645
event_blocked_gap,rel_t::2:blocked_control_gap,0.0005128313714155261,0.017259493414812612,0.9762965237012502,43655,0.000878816468900645
event_blocked_gap,rel_t::3:blocked_control_gap,0.018057886595801473,0.017886529202823496,0.31272040122060174,43655,0.000878816468900645
event_blocked_gap,rel_t::4:blocked_control_gap,0.01466495314476574,0.017976408642876814,0.4146399927372708,43655,0.000878816468900645
