treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]",28,11,11,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(10037.75, 20074.5]|(30111.25, 40148.0]",317,121,121,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]",9,70,9,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]",106,398,106,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]",22,133,22,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(30111.25, 40148.0]|(10037.75, 20074.5]",0,2,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(30111.25, 40148.0]|(10037.75, 20074.5]",0,27,0,0,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]",0,4,0,0,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]",1,0,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]|(0.999, 10037.75]",0,1,0,0,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]",51,106,51,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]|(0.999, 10037.75]",4,1,1,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]",5,6,5,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(0.999, 10037.75]|(0.999, 10037.75]",0,1,0,0,,,,,,
0,"0|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]",0,1652,0,0,,,,,,
0,"0|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]|(0.999, 10037.75]",0,2649,0,0,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]",171,380,171,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]|(20074.5, 30111.25]",3,36,3,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]|(10037.75, 20074.5]",60,724,60,1,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(10037.75, 20074.5]|(10037.75, 20074.5]",23,301,23,1,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]",6,373,6,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]",158,264,158,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]",0,21,0,0,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]|(30111.25, 40148.0]",279,134,134,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]",11,311,11,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]|(30111.25, 40148.0]",18,14,14,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]|(20074.5, 30111.25]",6,105,6,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]|(10037.75, 20074.5]",8,52,8,1,,,,,,
