spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,19512,0.008180865886621813,-0.00923096511331816,0.002084809183753359,9.942912626126343e-06,binary
binary_collapsed,post_X_disp,19512,0.008180865886621813,-0.027489177489177674,0.005984750829079077,4.586962902397573e-06,binary
binary_collapsed,post_X_treated_X_disp,19512,0.008180865886621813,-0.02713267125031786,0.024143254919188853,0.26120006435113696,binary
score_collapsed,post_X_treated,19512,0.012391677272972745,-0.024435466526388994,0.005368773522066735,5.590404541955252e-06,score
score_collapsed,post_X_score,19512,0.012391677272972745,-0.045210856246286374,0.008650613756841794,1.875890558444837e-07,score
score_collapsed,post_X_treated_X_score,19512,0.012391677272972745,-0.0669217233319173,0.02198553726457801,0.00236029036522889,score
event_att,"C(rel_t, contr.treatment(base=-1))[-4]:treated",19512,0.0016150703841465441,0.016126065883627253,0.004320191500321352,0.00019375597700688196,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-3]:treated",19512,0.0016150703841465441,0.01421844529671785,0.004177682379304813,0.0006762075709285664,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",19512,0.0016150703841465441,0.008702488152961114,0.002428436364792305,0.00034556616919312333,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",19512,0.0016150703841465441,-0.0011961985524676796,0.0029821121315853224,0.6883635384504818,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",19512,0.0016150703841465441,-0.0007489047549083205,0.0035531579536189836,0.8330831219709753,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[3]:treated",19512,0.0016150703841465441,0.007068741310255611,0.0032538083179887095,0.029917660586078476,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[4]:treated",19512,0.0016150703841465441,0.005793329275203775,0.0031476522717768705,0.0658128195567016,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated",19512,0.018192841624000033,0.011904761904761963,0.0038882859553591876,0.002224861489161123,event_study
