period,coef_selected_subset,se_selected_subset,pvalue_selected_subset,coef_exclude_cross_store,se_exclude_cross_store,pvalue_exclude_cross_store,delta_coef
-4,0.0002176951093813,0.0012633701853431,0.8631923316214418,0.0018954754384872701,0.001253713265838237,0.1305700479852414,0.0016777803291059702
-3,-6.39719798210313e-05,0.0012063672856623,0.9577093764579928,0.0015519170412445114,0.0012022104189074751,0.19675061375192104,0.0016158890210655427
-2,-0.0006375186887061,0.0010630764345281,0.5487147449966239,0.00014164711423189923,0.0010542321635194228,0.8931182319115656,0.0007791658029379991
1,0.0026216011807851,0.0010696889744404,0.0142578715163603,0.003195488846481882,0.0010481588364132017,0.0023000945619573443,0.0005738876656967819
2,0.0002056606432716,0.0011484527318534,0.857878710214343,0.001238470330122746,0.0011199906874676956,0.26882575010956966,0.001032809686851146
3,0.0065680545072594,0.0012171564739477,6.844084721180367e-08,0.007870507439971622,0.0011898331296414588,3.767808287591379e-11,0.0013024529327122225
4,0.0017991895596991,0.0011987901855888,0.1334053973640563,0.0034304839422737337,0.0011696034529984948,0.00335861808337512,0.0016312943825746336
