group,rel_t,mean,std
control,-4,0.4258878968253968,0.4362552093880944
control,-3,0.493387314439946,0.4331314901617851
control,-2,0.5171130952380952,0.43204286221852256
control,-1,0.4734375,0.437107433586678
control,0,0.18453029124535475,0.3526161574036801
control,1,0.5233412102678158,0.4243515833096945
control,2,0.42184801381692577,0.4232079373799245
control,3,0.4712024474594307,0.43418120450806547
control,4,0.3994579945799458,0.4509650396959874
treatment,-4,0.3253086419753086,0.3998393380273878
treatment,-3,0.43715846994535523,0.377950043762191
treatment,-2,0.3757575757575758,0.4181678904299166
treatment,-1,0.3763888888888889,0.3945526439020358
treatment,0,0.06165311653116531,0.22604679544532394
treatment,1,0.5338870431893687,0.40391128346881805
treatment,2,0.46766917293233085,0.4017358423994289
treatment,3,0.43612836438923397,0.444116461845872
treatment,4,0.29739583333333336,0.36608236374211023
